STATE,Total Legally Valid Consent Registrations (Including Intent Registrations of 16 & 17 year olds),State % of Legally Valid Consent Registrations (Including Intent Registrations of 16 & 17 year olds),% Variance from previous month
NSW,288721,22.92%,0.69%
VIC,302642,24.03%,1.00%
QLD,272130,21.61%,0.68%
SA,122442,9.72%,1.28%
WA,200304,15.90%,1.44%
TAS,39745,3.16%,0.65%
NT,9007,0.72%,2.09%
ACT,24539,1.95%,2.54%
TOTAL,1259530,100.00%,0.98%
