STATE,Grand Total Intent Registrations,State % of Total Intent Registrations,% Variance from previous month
NSW,1988280,46.63%,-0.06%
VIC,429474,10.07%,-0.10%
QLD,618351,14.50%,-0.05%
SA,613437,14.39%,0.31%
WA,442644,10.38%,-0.05%
TAS,140287,3.29%,-0.10%
NT,7222,0.17%,-0.03%
ACT,24547,0.58%,-0.13%
TOTAL,4264242,100.00%,-0.01%
