STATE,18-24,25-34,35-44,45-54,55-64,65+,Total,% of ABS Estimated Population
NSW,1158,170357,230169,227675,188344,201556,1019259,35.98%
VIC,1760,34613,42487,40006,31225,31582,181673,8.32%
QLD,4225,96838,88704,61941,38609,31758,322075,18.46%
SA,28014,64761,62281,59461,50665,52684,317866,48.74%
WA,765,22019,53539,54194,44408,46897,221822,23.65%
TAS,198,6315,16125,16826,14926,16903,71293,35.39%
NT,56,347,877,956,614,355,3205,3.46%
ACT,219,1415,2670,2412,1925,1687,10328,7.05%
TOTAL,36395,396665,496852,463471,370716,383422,2147521,24.43%
