STATE,Grand Total Intent Registrations,State % of Total Intent Registrations,% Variance from previous month
NSW,2055661,47.30%,-0.09%
VIC,453193,10.43%,-0.16%
QLD,631782,14.54%,-0.12%
SA,545120,12.54%,0.32%
WA,478220,11.00%,-0.24%
TAS,147400,3.39%,-0.17%
NT,9145,0.21%,-0.47%
ACT,25620,0.59%,-0.13%
TOTAL,4346141,100.00%,-0.07%
