STATE,18-24,25-34,35-44,45-54,55-64,65+,Total,% of ABS Estimated Population
NSW,69145,210522,240578,223837,164143,138204,1046429,39.09%
VIC,10849,44454,43679,39253,28943,23249,190427,9.58%
QLD,55071,90565,78319,51338,32205,20654,328152,20.76%
SA,30422,55149,55494,55508,43615,35755,275943,44.87%
WA,4376,43717,59047,55123,41036,33439,236738,29.32%
TAS,910,12964,17385,17653,13263,12028,74203,39.40%
NT,163,622,1216,937,604,255,3797,4.66%
ACT,492,2060,2747,2496,1860,1227,10882,8.45%
TOTAL,171428,460053,498465,446145,325669,264811,2166571,26.86%
