STATE,Total Legally Valid Consent Registrations (Including Intent Registrations of 16 & 17 year olds),State % of Legally Valid Consent Registrations (Including Intent Registrations of 16 & 17 year olds),% Variance from previous month
NSW,328619,21.98%,0.42%
VIC,364227,24.37%,0.83%
QLD,311012,20.81%,0.39%
SA,154490,10.34%,0.82%
WA,246159,16.47%,0.79%
TAS,46383,3.10%,1.16%
NT,11946,0.80%,0.82%
ACT,31925,2.14%,0.68%
TOTAL,1494761,100.00%,0.65%
