STATE,16-17,18-24,25-34,35-44,45-54,55-64,65+,Total,% of ABS Estimated Population
NSW,80,4866,13596,22141,23326,27039,39979,131027,4.59%
VIC,109,9081,23993,29436,25421,24002,27028,139070,6.32%
QLD,103,6065,14644,22143,23167,24626,28905,119653,6.76%
SA,2095,7661,7129,9486,10115,11084,14752,62322,9.55%
WA,52,6923,14957,18455,18350,18098,18762,95597,10.33%
TAS,31,1014,2218,2910,3375,3959,3989,17496,8.88%
NT,7,264,783,1004,996,874,452,4380,4.84%
ACT,15,939,2454,2602,2404,2090,2008,12512,8.78%
TOTAL,2492,36813,79774,108177,107154,111772,135875,582057,6.59%
