STATE,Total Legally Valid Consent Registrations (Including Intent Registrations of 16 & 17 year olds),State % of Legally Valid Consent Registrations (Including Intent Registrations of 16 & 17 year olds),% Variance from previous month
NSW,290520,22.88%,0.62%
VIC,305083,24.02%,0.81%
QLD,273947,21.57%,0.67%
SA,123731,9.74%,1.05%
WA,202658,15.96%,1.18%
TAS,40012,3.15%,0.67%
NT,9150,0.72%,1.59%
ACT,24898,1.96%,1.46%
TOTAL,1269999,100.00%,0.83%
