STATE,18-24,25-34,35-44,45-54,55-64,65+,Total,% of ABS Estimated Population
NSW,"1,552","119,341","218,527","228,836","199,885","240,094","1,008,235",34.1%
VIC,"1,691","24,329","44,249","39,996","33,323","37,084","180,672",7.8%
QLD,"1,420","78,132","89,642","69,064","43,807","39,001","321,066",17.5%
SA,"32,184","67,250","66,150","62,786","54,648","64,756","347,774",51.8%
WA,686,"13,449","47,753","55,089","47,111","56,351","220,439",21.5%
TAS,184,"3,281","14,486","16,739","15,870","20,069","70,629",34.6%
NT,35,311,733,1005,698,431,"3,213",3.2%
ACT,189,"1,247","2,458","2,573","2,005","1,979","10,451",6.9%
TOTAL,"37,941","307,340","483,998","476,088","397,347","459,765","2,162,479",23.4%
