STATE,18-24,25-34,35-44,45-54,55-64,65+,Total,% of ABS Estimated Population
NSW,5081,120289,220344,224978,186105,198930,955727,31.3%
VIC,5659,35056,64043,53113,42117,43955,243943,10.2%
QLD,5299,73224,79848,64554,40778,34029,297732,15.8%
SA,29391,60863,61557,59880,51404,54422,317517,45.6%
WA,2217,16031,49022,55321,45592,50212,218395,21.6%
TAS,588,4153,14414,16778,15014,17401,68348,32.7%
NT,182,632,1053,1089,665,375,3996,4.6%
ACT,659,2388,3751,3243,2351,2287,14679,9.4%
TOTAL,49076,312636,494032,478956,384026,401611,2120337,22.3%
