STATE,Grand Total Intent Registrations,State % of Total Intent Registrations,% Variance from previous month
NSW,1963995,45.80%,-0.02%
VIC,428355,9.99%,0.08%
QLD,618800,14.43%,0.08%
SA,665384,15.52%,0.23%
WA,440122,10.26%,0.00%
TAS,138977,3.24%,-0.02%
NT,7209,0.17%,0.18%
ACT,25130,0.59%,0.30%
TOTAL,4287972,100.00%,0.05%
