Building Work Contractors Act 1995,,,,
61—Annual report,,,,
Builders licences,2017-18,2016-17,2015-16,2014-15
Held by bodies corporate ,4943,4766,4536,#
Held by natural persons (individuals or members of partnerships) Includes contractors only and contractors & supervisors. Does not include supervisors only,18210,18600,18645,#
Held by building work supervisors (registrations only),3961,3900,3781,#
Total ,27114,27266,26962,#
Applications for new licences/registrations or a change of conditions received,2700,2655,2494,#
# Reporting systems changed significantly in 2015-16 and therefore previous data is available from https://www.cbs.sa.gov.au/about/ prior to 2015-16,,,,
