Conveyancers Act 1994,,,,
S66—Annual report,,,,
Registrations,2017-18,2016 -17,2015 -16,2014 - 15
Held by bodies corporate ,87,78,69,#
Held by natural persons,593,586,583,#
Total,680,664,652,#
Applications for new registrations received,59,47,37,#
A copy of the audited statement of accounts of the indemnity fund will be available on the CBS website on or before 31 December,,,,
# Reporting systems changed significantly in 2015-16 and therefore previous data is available from https://www.cbs.sa.gov.au/about/ prior to 2015-16,,,,
