Land Agents Act 1994,,,
S64—Annual report,,,
Registrations ,2017-18,2016-17,2015-16
Held by land agent bodies corporate ,983,972,935
Held by land agent natural persons,2303,2260,2225
Held by sales representative and auctioneer natural persons,2658,2606,2474
Total,5944,5838,5634
Applications for new registrations received,798,848,928
A copy of the audited statement of accounts of the indemnity fund will be available on the CBS website on or before 31 December.,,,
# Reporting systems changed significantly in 2015-16 and therefore previous data is available from https://www.cbs.sa.gov.au/about/ prior to 2015-16,,,
