"STATE","18-24","25-34","35-44","45-54","55-64","65+","Total","% of ABS Estimated Population"
NSW,1530,122493,219684,228541,198984,237538,1008770,34.6%
VIC,1653,25055,44117,39959,33025,36765,180574,8.0%
QLD,1382,79511,89819,68507,43318,38505,321042,17.7%
SA,32157,67148,66022,62497,54366,63953,346143,52.0%
WA,693,13976,48229,54990,46959,55678,220525,21.8%
TAS,179,3460,14634,16727,15795,19878,70673,34.8%
NT,34,311,747,992,692,423,3199,3.2%
ACT,188,1253,2488,2552,2000,1964,10445,6.9%
TOTAL,37816,313207,485740,474765,395139,454704,2161371,23.7%
