"STATE","Grand Total Intent Registrations","State % of Total Intent Registrations","% Variance from previous month"
NSW,1965093,45.85%,-0.01%
VIC,428037,9.99%,0.18%
QLD,618359,14.43%,0.10%
SA,662327,15.46%,0.57%
WA,440213,10.27%,0.03%
TAS,139052,3.24%,0.02%
NT,7179,0.17%,0.10%
ACT,25072,0.59%,0.30%
TOTAL,4285332,100.00%,0.12%
