table,table_title,reference_month,geography_level,geography,dwelling_type,series_type,unit,series_id,value
40,Value of residential building approved - states and territories,1973-09,state,Queensland,Total Residential,Seasonally Adjusted,$'000,A420110C,44229
40,Value of residential building approved - states and territories,1973-09,state,South Australia,Total Residential,Seasonally Adjusted,$'000,A420197F,21126
40,Value of residential building approved - states and territories,1973-09,state,Western Australia,Total Residential,Seasonally Adjusted,$'000,A420281W,22213
40,Value of residential building approved - states and territories,1973-09,state,Australia,Total Residential,Seasonally Adjusted,$'000,A419853V,244663
40,Value of residential building approved - states and territories,1973-09,state,New South Wales,Total Residential,Trend,$'000,A419945C,82134
40,Value of residential building approved - states and territories,1973-09,state,Victoria,Total Residential,Trend,$'000,A420029V,61004
40,Value of residential building approved - states and territories,1973-09,state,Queensland,Total Residential,Trend,$'000,A420113K,43123
40,Value of residential building approved - states and territories,1973-09,state,South Australia,Total Residential,Trend,$'000,A420200J,20677
40,Value of residential building approved - states and territories,1973-09,state,Western Australia,Total Residential,Trend,$'000,A420284C,21990
40,Value of residential building approved - states and territories,1973-09,state,Australia,Total Residential,Trend,$'000,A419856A,244340
40,Value of residential building approved - states and territories,1973-10,state,New South Wales,Total Residential,Original,$'000,A419939J,79766
40,Value of residential building approved - states and territories,1973-10,state,Victoria,Total Residential,Original,$'000,A420023F,70526
40,Value of residential building approved - states and territories,1973-10,state,Queensland,Total Residential,Original,$'000,A420107R,54855
40,Value of residential building approved - states and territories,1973-10,state,South Australia,Total Residential,Original,$'000,A420194X,21623
40,Value of residential building approved - states and territories,1973-10,state,Western Australia,Total Residential,Original,$'000,A420278J,22179
40,Value of residential building approved - states and territories,1973-10,state,Tasmania,Total Residential,Original,$'000,A420356C,5126
40,Value of residential building approved - states and territories,1973-10,state,Northern Territory,Total Residential,Original,$'000,A420442X,2710
40,Value of residential building approved - states and territories,1973-10,state,Australian Capital Territory,Total Residential,Original,$'000,A420515A,7764
40,Value of residential building approved - states and territories,1973-10,state,Australia,Total Residential,Original,$'000,A419850L,264549
40,Value of residential building approved - states and territories,1973-10,state,New South Wales,Total Residential,Seasonally Adjusted,$'000,A419942W,80835
40,Value of residential building approved - states and territories,1973-10,state,Victoria,Total Residential,Seasonally Adjusted,$'000,A420026L,61154
40,Value of residential building approved - states and territories,1973-10,state,Queensland,Total Residential,Seasonally Adjusted,$'000,A420110C,46296
40,Value of residential building approved - states and territories,1973-10,state,South Australia,Total Residential,Seasonally Adjusted,$'000,A420197F,21348
40,Value of residential building approved - states and territories,1973-10,state,Western Australia,Total Residential,Seasonally Adjusted,$'000,A420281W,20040
40,Value of residential building approved - states and territories,1973-10,state,Australia,Total Residential,Seasonally Adjusted,$'000,A419853V,244226
40,Value of residential building approved - states and territories,1973-10,state,New South Wales,Total Residential,Trend,$'000,A419945C,81039
40,Value of residential building approved - states and territories,1973-10,state,Victoria,Total Residential,Trend,$'000,A420029V,60655
40,Value of residential building approved - states and territories,1973-10,state,Queensland,Total Residential,Trend,$'000,A420113K,42798
40,Value of residential building approved - states and territories,1973-10,state,South Australia,Total Residential,Trend,$'000,A420200J,21168
40,Value of residential building approved - states and territories,1973-10,state,Western Australia,Total Residential,Trend,$'000,A420284C,21048
40,Value of residential building approved - states and territories,1973-10,state,Australia,Total Residential,Trend,$'000,A419856A,241343
40,Value of residential building approved - states and territories,1973-11,state,New South Wales,Total Residential,Original,$'000,A419939J,87117
40,Value of residential building approved - states and territories,1973-11,state,Victoria,Total Residential,Original,$'000,A420023F,58255
40,Value of residential building approved - states and territories,1973-11,state,Queensland,Total Residential,Original,$'000,A420107R,39628
40,Value of residential building approved - states and territories,1973-11,state,South Australia,Total Residential,Original,$'000,A420194X,21519
40,Value of residential building approved - states and territories,1973-11,state,Western Australia,Total Residential,Original,$'000,A420278J,21970
40,Value of residential building approved - states and territories,1973-11,state,Tasmania,Total Residential,Original,$'000,A420356C,5181
40,Value of residential building approved - states and territories,1973-11,state,Northern Territory,Total Residential,Original,$'000,A420442X,1041
40,Value of residential building approved - states and territories,1973-11,state,Australian Capital Territory,Total Residential,Original,$'000,A420515A,6730
40,Value of residential building approved - states and territories,1973-11,state,Australia,Total Residential,Original,$'000,A419850L,241441
40,Value of residential building approved - states and territories,1973-11,state,New South Wales,Total Residential,Seasonally Adjusted,$'000,A419942W,81064
40,Value of residential building approved - states and territories,1973-11,state,Victoria,Total Residential,Seasonally Adjusted,$'000,A420026L,57606
40,Value of residential building approved - states and territories,1973-11,state,Queensland,Total Residential,Seasonally Adjusted,$'000,A420110C,40572
40,Value of residential building approved - states and territories,1973-11,state,South Australia,Total Residential,Seasonally Adjusted,$'000,A420197F,20442
40,Value of residential building approved - states and territories,1973-11,state,Western Australia,Total Residential,Seasonally Adjusted,$'000,A420281W,20511
40,Value of residential building approved - states and territories,1973-11,state,Australia,Total Residential,Seasonally Adjusted,$'000,A419853V,231868
40,Value of residential building approved - states and territories,1973-11,state,New South Wales,Total Residential,Trend,$'000,A419945C,79053
40,Value of residential building approved - states and territories,1973-11,state,Victoria,Total Residential,Trend,$'000,A420029V,59511
40,Value of residential building approved - states and territories,1973-11,state,Queensland,Total Residential,Trend,$'000,A420113K,41833
40,Value of residential building approved - states and territories,1973-11,state,South Australia,Total Residential,Trend,$'000,A420200J,21186
40,Value of residential building approved - states and territories,1973-11,state,Western Australia,Total Residential,Trend,$'000,A420284C,19765
40,Value of residential building approved - states and territories,1973-11,state,Australia,Total Residential,Trend,$'000,A419856A,235478
40,Value of residential building approved - states and territories,1973-12,state,New South Wales,Total Residential,Original,$'000,A419939J,63202
40,Value of residential building approved - states and territories,1973-12,state,Victoria,Total Residential,Original,$'000,A420023F,49945
40,Value of residential building approved - states and territories,1973-12,state,Queensland,Total Residential,Original,$'000,A420107R,33644
40,Value of residential building approved - states and territories,1973-12,state,South Australia,Total Residential,Original,$'000,A420194X,21700
40,Value of residential building approved - states and territories,1973-12,state,Western Australia,Total Residential,Original,$'000,A420278J,13992
40,Value of residential building approved - states and territories,1973-12,state,Tasmania,Total Residential,Original,$'000,A420356C,3908
40,Value of residential building approved - states and territories,1973-12,state,Northern Territory,Total Residential,Original,$'000,A420442X,1860
40,Value of residential building approved - states and territories,1973-12,state,Australian Capital Territory,Total Residential,Original,$'000,A420515A,6770
40,Value of residential building approved - states and territories,1973-12,state,Australia,Total Residential,Original,$'000,A419850L,195021
40,Value of residential building approved - states and territories,1973-12,state,New South Wales,Total Residential,Seasonally Adjusted,$'000,A419942W,73346
40,Value of residential building approved - states and territories,1973-12,state,Victoria,Total Residential,Seasonally Adjusted,$'000,A420026L,56252
40,Value of residential building approved - states and territories,1973-12,state,Queensland,Total Residential,Seasonally Adjusted,$'000,A420110C,41284
40,Value of residential building approved - states and territories,1973-12,state,South Australia,Total Residential,Seasonally Adjusted,$'000,A420197F,24207
40,Value of residential building approved - states and territories,1973-12,state,Western Australia,Total Residential,Seasonally Adjusted,$'000,A420281W,17103
40,Value of residential building approved - states and territories,1973-12,state,Australia,Total Residential,Seasonally Adjusted,$'000,A419853V,227343
40,Value of residential building approved - states and territories,1973-12,state,New South Wales,Total Residential,Trend,$'000,A419945C,76861
40,Value of residential building approved - states and territories,1973-12,state,Victoria,Total Residential,Trend,$'000,A420029V,57686
40,Value of residential building approved - states and territories,1973-12,state,Queensland,Total Residential,Trend,$'000,A420113K,40757
40,Value of residential building approved - states and territories,1973-12,state,South Australia,Total Residential,Trend,$'000,A420200J,20754
40,Value of residential building approved - states and territories,1973-12,state,Western Australia,Total Residential,Trend,$'000,A420284C,18534
40,Value of residential building approved - states and territories,1973-12,state,Australia,Total Residential,Trend,$'000,A419856A,229051
40,Value of residential building approved - states and territories,1974-01,state,New South Wales,Total Residential,Original,$'000,A419939J,69771
40,Value of residential building approved - states and territories,1974-01,state,Victoria,Total Residential,Original,$'000,A420023F,44007
40,Value of residential building approved - states and territories,1974-01,state,Queensland,Total Residential,Original,$'000,A420107R,26790
40,Value of residential building approved - states and territories,1974-01,state,South Australia,Total Residential,Original,$'000,A420194X,14839
40,Value of residential building approved - states and territories,1974-01,state,Western Australia,Total Residential,Original,$'000,A420278J,14060
40,Value of residential building approved - states and territories,1974-01,state,Tasmania,Total Residential,Original,$'000,A420356C,3343
40,Value of residential building approved - states and territories,1974-01,state,Northern Territory,Total Residential,Original,$'000,A420442X,4340
40,Value of residential building approved - states and territories,1974-01,state,Australian Capital Territory,Total Residential,Original,$'000,A420515A,6608
40,Value of residential building approved - states and territories,1974-01,state,Australia,Total Residential,Original,$'000,A419850L,183758
40,Value of residential building approved - states and territories,1974-01,state,New South Wales,Total Residential,Seasonally Adjusted,$'000,A419942W,73610
