table,table_title,reference_month,geography_level,geography,dwelling_type,series_type,unit,series_id,value
39,Value of total building approved - states and territories,1973-10,state,Northern Territory,,Original,$'000,A422768K,5323
39,Value of total building approved - states and territories,1973-10,state,Australian Capital Territory,,Original,$'000,A422865L,22432
39,Value of total building approved - states and territories,1973-10,state,New South Wales,,Seasonally Adjusted,$'000,A422173X,127004
39,Value of total building approved - states and territories,1973-10,state,Victoria,,Seasonally Adjusted,$'000,A422273J,99034
39,Value of total building approved - states and territories,1973-10,state,Queensland,,Seasonally Adjusted,$'000,A422373T,72855
39,Value of total building approved - states and territories,1973-10,state,South Australia,,Seasonally Adjusted,$'000,A422473A,46532
39,Value of total building approved - states and territories,1973-10,state,Western Australia,,Seasonally Adjusted,$'000,A422573K,37096
39,Value of total building approved - states and territories,1973-10,state,New South Wales,,Trend,$'000,A422175C,131312
39,Value of total building approved - states and territories,1973-10,state,Victoria,,Trend,$'000,A422275L,104074
39,Value of total building approved - states and territories,1973-10,state,Queensland,,Trend,$'000,A422375W,63203
39,Value of total building approved - states and territories,1973-10,state,South Australia,,Trend,$'000,A422475F,39381
39,Value of total building approved - states and territories,1973-10,state,Western Australia,,Trend,$'000,A422575R,35729
39,Value of total building approved - states and territories,1973-11,state,New South Wales,,Original,$'000,A422168F,169460
39,Value of total building approved - states and territories,1973-11,state,Victoria,,Original,$'000,A422268R,96862
39,Value of total building approved - states and territories,1973-11,state,Queensland,,Original,$'000,A422368X,59205
39,Value of total building approved - states and territories,1973-11,state,South Australia,,Original,$'000,A422468J,45494
39,Value of total building approved - states and territories,1973-11,state,Western Australia,,Original,$'000,A422568T,34239
39,Value of total building approved - states and territories,1973-11,state,Tasmania,,Original,$'000,A422668A,10135
39,Value of total building approved - states and territories,1973-11,state,Northern Territory,,Original,$'000,A422768K,3575
39,Value of total building approved - states and territories,1973-11,state,Australian Capital Territory,,Original,$'000,A422865L,7534
39,Value of total building approved - states and territories,1973-11,state,New South Wales,,Seasonally Adjusted,$'000,A422173X,163407
39,Value of total building approved - states and territories,1973-11,state,Victoria,,Seasonally Adjusted,$'000,A422273J,95581
39,Value of total building approved - states and territories,1973-11,state,Queensland,,Seasonally Adjusted,$'000,A422373T,60149
39,Value of total building approved - states and territories,1973-11,state,South Australia,,Seasonally Adjusted,$'000,A422473A,46504
39,Value of total building approved - states and territories,1973-11,state,Western Australia,,Seasonally Adjusted,$'000,A422573K,32619
39,Value of total building approved - states and territories,1973-11,state,New South Wales,,Trend,$'000,A422175C,131259
39,Value of total building approved - states and territories,1973-11,state,Victoria,,Trend,$'000,A422275L,100067
39,Value of total building approved - states and territories,1973-11,state,Queensland,,Trend,$'000,A422375W,60938
39,Value of total building approved - states and territories,1973-11,state,South Australia,,Trend,$'000,A422475F,38486
39,Value of total building approved - states and territories,1973-11,state,Western Australia,,Trend,$'000,A422575R,34942
39,Value of total building approved - states and territories,1973-12,state,New South Wales,,Original,$'000,A422168F,107123
39,Value of total building approved - states and territories,1973-12,state,Victoria,,Original,$'000,A422268R,89113
39,Value of total building approved - states and territories,1973-12,state,Queensland,,Original,$'000,A422368X,52159
39,Value of total building approved - states and territories,1973-12,state,South Australia,,Original,$'000,A422468J,29312
39,Value of total building approved - states and territories,1973-12,state,Western Australia,,Original,$'000,A422568T,30329
39,Value of total building approved - states and territories,1973-12,state,Tasmania,,Original,$'000,A422668A,8935
39,Value of total building approved - states and territories,1973-12,state,Northern Territory,,Original,$'000,A422768K,7245
39,Value of total building approved - states and territories,1973-12,state,Australian Capital Territory,,Original,$'000,A422865L,7701
39,Value of total building approved - states and territories,1973-12,state,New South Wales,,Seasonally Adjusted,$'000,A422173X,117267
