table,table_title,reference_month,geography_level,geography,dwelling_type,series_type,unit,series_id,value
10,"Number of dwelling units approved, by Greater Capital City Statistical Area - original",2001-07,gccsa,Greater Sydney,Houses,Original,Number,A118682584T,1124
10,"Number of dwelling units approved, by Greater Capital City Statistical Area - original",2001-07,gccsa,Greater Melbourne,Houses,Original,Number,A118714408K,2104
10,"Number of dwelling units approved, by Greater Capital City Statistical Area - original",2001-07,gccsa,Greater Brisbane,Houses,Original,Number,A118687480R,1044
10,"Number of dwelling units approved, by Greater Capital City Statistical Area - original",2001-07,gccsa,Greater Adelaide,Houses,Original,Number,A118731544W,552
10,"Number of dwelling units approved, by Greater Capital City Statistical Area - original",2001-07,gccsa,Greater Perth,Houses,Original,Number,A118689928L,1233
10,"Number of dwelling units approved, by Greater Capital City Statistical Area - original",2001-07,gccsa,Greater Hobart,Houses,Original,Number,A118704616T,54
10,"Number of dwelling units approved, by Greater Capital City Statistical Area - original",2001-07,gccsa,Greater Darwin,Houses,Original,Number,A118719304J,47
10,"Number of dwelling units approved, by Greater Capital City Statistical Area - original",2001-07,gccsa,Australian Capital Territory,Houses,Original,Number,A118726648V,112
10,"Number of dwelling units approved, by Greater Capital City Statistical Area - original",2001-07,gccsa,Greater Sydney,Dwellings excluding houses,Original,Number,A118680784X,1389
10,"Number of dwelling units approved, by Greater Capital City Statistical Area - original",2001-07,gccsa,Greater Melbourne,Dwellings excluding houses,Original,Number,A118712608T,791
10,"Number of dwelling units approved, by Greater Capital City Statistical Area - original",2001-07,gccsa,Greater Brisbane,Dwellings excluding houses,Original,Number,A118685680W,296
10,"Number of dwelling units approved, by Greater Capital City Statistical Area - original",2001-07,gccsa,Greater Adelaide,Dwellings excluding houses,Original,Number,A118729744X,181
10,"Number of dwelling units approved, by Greater Capital City Statistical Area - original",2001-07,gccsa,Greater Perth,Dwellings excluding houses,Original,Number,A118688128W,220
10,"Number of dwelling units approved, by Greater Capital City Statistical Area - original",2001-07,gccsa,Greater Hobart,Dwellings excluding houses,Original,Number,A118702816X,2
10,"Number of dwelling units approved, by Greater Capital City Statistical Area - original",2001-07,gccsa,Greater Darwin,Dwellings excluding houses,Original,Number,A118717504R,20
10,"Number of dwelling units approved, by Greater Capital City Statistical Area - original",2001-07,gccsa,Australian Capital Territory,Dwellings excluding houses,Original,Number,A118724848A,70
10,"Number of dwelling units approved, by Greater Capital City Statistical Area - original",2001-07,gccsa,Greater Sydney,Total (Type of Building),Original,Number,A118681504L,2513
10,"Number of dwelling units approved, by Greater Capital City Statistical Area - original",2001-07,gccsa,Greater Melbourne,Total (Type of Building),Original,Number,A118713328T,2895
10,"Number of dwelling units approved, by Greater Capital City Statistical Area - original",2001-07,gccsa,Greater Brisbane,Total (Type of Building),Original,Number,A118686400K,1341
10,"Number of dwelling units approved, by Greater Capital City Statistical Area - original",2001-07,gccsa,Greater Adelaide,Total (Type of Building),Original,Number,A118730464C,733
10,"Number of dwelling units approved, by Greater Capital City Statistical Area - original",2001-07,gccsa,Greater Perth,Total (Type of Building),Original,Number,A118688848V,1453
10,"Number of dwelling units approved, by Greater Capital City Statistical Area - original",2001-07,gccsa,Greater Hobart,Total (Type of Building),Original,Number,A118703536X,56
10,"Number of dwelling units approved, by Greater Capital City Statistical Area - original",2001-07,gccsa,Greater Darwin,Total (Type of Building),Original,Number,A118718224R,67
10,"Number of dwelling units approved, by Greater Capital City Statistical Area - original",2001-07,gccsa,Australian Capital Territory,Total (Type of Building),Original,Number,A118725568A,182
10,"Number of dwelling units approved, by Greater Capital City Statistical Area - original",2001-08,gccsa,Greater Sydney,Houses,Original,Number,A118682584T,1133
10,"Number of dwelling units approved, by Greater Capital City Statistical Area - original",2001-08,gccsa,Greater Melbourne,Houses,Original,Number,A118714408K,2726
10,"Number of dwelling units approved, by Greater Capital City Statistical Area - original",2001-08,gccsa,Greater Brisbane,Houses,Original,Number,A118687480R,1069
10,"Number of dwelling units approved, by Greater Capital City Statistical Area - original",2001-08,gccsa,Greater Adelaide,Houses,Original,Number,A118731544W,543
10,"Number of dwelling units approved, by Greater Capital City Statistical Area - original",2001-08,gccsa,Greater Perth,Houses,Original,Number,A118689928L,1322
10,"Number of dwelling units approved, by Greater Capital City Statistical Area - original",2001-08,gccsa,Greater Hobart,Houses,Original,Number,A118704616T,58
10,"Number of dwelling units approved, by Greater Capital City Statistical Area - original",2001-08,gccsa,Greater Darwin,Houses,Original,Number,A118719304J,25
10,"Number of dwelling units approved, by Greater Capital City Statistical Area - original",2001-08,gccsa,Australian Capital Territory,Houses,Original,Number,A118726648V,120
10,"Number of dwelling units approved, by Greater Capital City Statistical Area - original",2001-08,gccsa,Greater Sydney,Dwellings excluding houses,Original,Number,A118680784X,1345
10,"Number of dwelling units approved, by Greater Capital City Statistical Area - original",2001-08,gccsa,Greater Melbourne,Dwellings excluding houses,Original,Number,A118712608T,1945
10,"Number of dwelling units approved, by Greater Capital City Statistical Area - original",2001-08,gccsa,Greater Brisbane,Dwellings excluding houses,Original,Number,A118685680W,271
10,"Number of dwelling units approved, by Greater Capital City Statistical Area - original",2001-08,gccsa,Greater Adelaide,Dwellings excluding houses,Original,Number,A118729744X,72
10,"Number of dwelling units approved, by Greater Capital City Statistical Area - original",2001-08,gccsa,Greater Perth,Dwellings excluding houses,Original,Number,A118688128W,225
10,"Number of dwelling units approved, by Greater Capital City Statistical Area - original",2001-08,gccsa,Greater Hobart,Dwellings excluding houses,Original,Number,A118702816X,4
10,"Number of dwelling units approved, by Greater Capital City Statistical Area - original",2001-08,gccsa,Greater Darwin,Dwellings excluding houses,Original,Number,A118717504R,18
10,"Number of dwelling units approved, by Greater Capital City Statistical Area - original",2001-08,gccsa,Australian Capital Territory,Dwellings excluding houses,Original,Number,A118724848A,2
10,"Number of dwelling units approved, by Greater Capital City Statistical Area - original",2001-08,gccsa,Greater Sydney,Total (Type of Building),Original,Number,A118681504L,2478
10,"Number of dwelling units approved, by Greater Capital City Statistical Area - original",2001-08,gccsa,Greater Melbourne,Total (Type of Building),Original,Number,A118713328T,4671
10,"Number of dwelling units approved, by Greater Capital City Statistical Area - original",2001-08,gccsa,Greater Brisbane,Total (Type of Building),Original,Number,A118686400K,1340
10,"Number of dwelling units approved, by Greater Capital City Statistical Area - original",2001-08,gccsa,Greater Adelaide,Total (Type of Building),Original,Number,A118730464C,615
10,"Number of dwelling units approved, by Greater Capital City Statistical Area - original",2001-08,gccsa,Greater Perth,Total (Type of Building),Original,Number,A118688848V,1547
10,"Number of dwelling units approved, by Greater Capital City Statistical Area - original",2001-08,gccsa,Greater Hobart,Total (Type of Building),Original,Number,A118703536X,62
10,"Number of dwelling units approved, by Greater Capital City Statistical Area - original",2001-08,gccsa,Greater Darwin,Total (Type of Building),Original,Number,A118718224R,43
10,"Number of dwelling units approved, by Greater Capital City Statistical Area - original",2001-08,gccsa,Australian Capital Territory,Total (Type of Building),Original,Number,A118725568A,122
10,"Number of dwelling units approved, by Greater Capital City Statistical Area - original",2001-09,gccsa,Greater Sydney,Houses,Original,Number,A118682584T,1095
10,"Number of dwelling units approved, by Greater Capital City Statistical Area - original",2001-09,gccsa,Greater Melbourne,Houses,Original,Number,A118714408K,2212
10,"Number of dwelling units approved, by Greater Capital City Statistical Area - original",2001-09,gccsa,Greater Brisbane,Houses,Original,Number,A118687480R,958
10,"Number of dwelling units approved, by Greater Capital City Statistical Area - original",2001-09,gccsa,Greater Adelaide,Houses,Original,Number,A118731544W,520
10,"Number of dwelling units approved, by Greater Capital City Statistical Area - original",2001-09,gccsa,Greater Perth,Houses,Original,Number,A118689928L,1118
10,"Number of dwelling units approved, by Greater Capital City Statistical Area - original",2001-09,gccsa,Greater Hobart,Houses,Original,Number,A118704616T,59
10,"Number of dwelling units approved, by Greater Capital City Statistical Area - original",2001-09,gccsa,Greater Darwin,Houses,Original,Number,A118719304J,28
10,"Number of dwelling units approved, by Greater Capital City Statistical Area - original",2001-09,gccsa,Australian Capital Territory,Houses,Original,Number,A118726648V,100
