table,table_title,reference_month,geography_level,geography,dwelling_type,series_type,unit,series_id,value
07,Total number of dwelling units approved - states and territories,1983-09,state,Western Australia,,Seasonally Adjusted,Number,A422572J,1559
07,Total number of dwelling units approved - states and territories,1983-09,state,Tasmania,,Seasonally Adjusted,Number,A422672T,298
07,Total number of dwelling units approved - states and territories,1983-09,state,New South Wales,,Trend,Number,A422174A,3360
07,Total number of dwelling units approved - states and territories,1983-09,state,Victoria,,Trend,Number,A422274K,2931
07,Total number of dwelling units approved - states and territories,1983-09,state,Queensland,,Trend,Number,A422374V,2609
07,Total number of dwelling units approved - states and territories,1983-09,state,South Australia,,Trend,Number,A422474C,997
07,Total number of dwelling units approved - states and territories,1983-09,state,Western Australia,,Trend,Number,A422574L,1352
07,Total number of dwelling units approved - states and territories,1983-09,state,Tasmania,,Trend,Number,A422675X,283
07,Total number of dwelling units approved - states and territories,1983-09,state,Northern Territory,,Trend,Number,A422775J,212
07,Total number of dwelling units approved - states and territories,1983-09,state,Australian Capital Territory,,Trend,Number,A422872K,150
07,Total number of dwelling units approved - states and territories,1983-10,state,New South Wales,,Original,Number,A422166A,3438
07,Total number of dwelling units approved - states and territories,1983-10,state,Victoria,,Original,Number,A422266K,3025
07,Total number of dwelling units approved - states and territories,1983-10,state,Queensland,,Original,Number,A422366V,2937
07,Total number of dwelling units approved - states and territories,1983-10,state,South Australia,,Original,Number,A422466C,1117
07,Total number of dwelling units approved - states and territories,1983-10,state,Western Australia,,Original,Number,A422566L,1360
07,Total number of dwelling units approved - states and territories,1983-10,state,Tasmania,,Original,Number,A422666W,321
07,Total number of dwelling units approved - states and territories,1983-10,state,Northern Territory,,Original,Number,A422766F,195
07,Total number of dwelling units approved - states and territories,1983-10,state,Australian Capital Territory,,Original,Number,A422863J,144
07,Total number of dwelling units approved - states and territories,1983-10,state,New South Wales,,Seasonally Adjusted,Number,A422172W,3405
07,Total number of dwelling units approved - states and territories,1983-10,state,Victoria,,Seasonally Adjusted,Number,A422272F,3012
07,Total number of dwelling units approved - states and territories,1983-10,state,Queensland,,Seasonally Adjusted,Number,A422372R,2851
07,Total number of dwelling units approved - states and territories,1983-10,state,South Australia,,Seasonally Adjusted,Number,A422472X,1115
07,Total number of dwelling units approved - states and territories,1983-10,state,Western Australia,,Seasonally Adjusted,Number,A422572J,1449
07,Total number of dwelling units approved - states and territories,1983-10,state,Tasmania,,Seasonally Adjusted,Number,A422672T,293
07,Total number of dwelling units approved - states and territories,1983-10,state,New South Wales,,Trend,Number,A422174A,3497
07,Total number of dwelling units approved - states and territories,1983-10,state,Victoria,,Trend,Number,A422274K,2919
07,Total number of dwelling units approved - states and territories,1983-10,state,Queensland,,Trend,Number,A422374V,2662
07,Total number of dwelling units approved - states and territories,1983-10,state,South Australia,,Trend,Number,A422474C,1013
07,Total number of dwelling units approved - states and territories,1983-10,state,Western Australia,,Trend,Number,A422574L,1404
07,Total number of dwelling units approved - states and territories,1983-10,state,Tasmania,,Trend,Number,A422675X,288
07,Total number of dwelling units approved - states and territories,1983-10,state,Northern Territory,,Trend,Number,A422775J,195
07,Total number of dwelling units approved - states and territories,1983-10,state,Australian Capital Territory,,Trend,Number,A422872K,152
07,Total number of dwelling units approved - states and territories,1983-11,state,New South Wales,,Original,Number,A422166A,3685
07,Total number of dwelling units approved - states and territories,1983-11,state,Victoria,,Original,Number,A422266K,3164
07,Total number of dwelling units approved - states and territories,1983-11,state,Queensland,,Original,Number,A422366V,2937
07,Total number of dwelling units approved - states and territories,1983-11,state,South Australia,,Original,Number,A422466C,1062
07,Total number of dwelling units approved - states and territories,1983-11,state,Western Australia,,Original,Number,A422566L,1449
07,Total number of dwelling units approved - states and territories,1983-11,state,Tasmania,,Original,Number,A422666W,327
07,Total number of dwelling units approved - states and territories,1983-11,state,Northern Territory,,Original,Number,A422766F,171
07,Total number of dwelling units approved - states and territories,1983-11,state,Australian Capital Territory,,Original,Number,A422863J,243
07,Total number of dwelling units approved - states and territories,1983-11,state,New South Wales,,Seasonally Adjusted,Number,A422172W,3372
07,Total number of dwelling units approved - states and territories,1983-11,state,Victoria,,Seasonally Adjusted,Number,A422272F,2908
07,Total number of dwelling units approved - states and territories,1983-11,state,Queensland,,Seasonally Adjusted,Number,A422372R,2732
07,Total number of dwelling units approved - states and territories,1983-11,state,South Australia,,Seasonally Adjusted,Number,A422472X,1008
07,Total number of dwelling units approved - states and territories,1983-11,state,Western Australia,,Seasonally Adjusted,Number,A422572J,1391
07,Total number of dwelling units approved - states and territories,1983-11,state,Tasmania,,Seasonally Adjusted,Number,A422672T,296
07,Total number of dwelling units approved - states and territories,1983-11,state,New South Wales,,Trend,Number,A422174A,3620
07,Total number of dwelling units approved - states and territories,1983-11,state,Victoria,,Trend,Number,A422274K,2906
07,Total number of dwelling units approved - states and territories,1983-11,state,Queensland,,Trend,Number,A422374V,2732
07,Total number of dwelling units approved - states and territories,1983-11,state,South Australia,,Trend,Number,A422474C,1033
07,Total number of dwelling units approved - states and territories,1983-11,state,Western Australia,,Trend,Number,A422574L,1425
