table,table_title,reference_month,geography_level,geography,dwelling_type,series_type,unit,series_id,value
07,Total number of dwelling units approved - states and territories,1985-04,state,South Australia,,Seasonally Adjusted,Number,A422472X,1207
07,Total number of dwelling units approved - states and territories,1985-04,state,South Australia,,Trend,Number,A422474C,1216
07,Total number of dwelling units approved - states and territories,1985-05,state,South Australia,,Original,Number,A422466C,1473
07,Total number of dwelling units approved - states and territories,1985-05,state,South Australia,,Seasonally Adjusted,Number,A422472X,1390
07,Total number of dwelling units approved - states and territories,1985-05,state,South Australia,,Trend,Number,A422474C,1172
07,Total number of dwelling units approved - states and territories,1985-06,state,South Australia,,Original,Number,A422466C,1051
07,Total number of dwelling units approved - states and territories,1985-06,state,South Australia,,Seasonally Adjusted,Number,A422472X,1121
07,Total number of dwelling units approved - states and territories,1985-06,state,South Australia,,Trend,Number,A422474C,1133
07,Total number of dwelling units approved - states and territories,1985-07,state,South Australia,,Original,Number,A422466C,924
07,Total number of dwelling units approved - states and territories,1985-07,state,South Australia,,Seasonally Adjusted,Number,A422472X,899
07,Total number of dwelling units approved - states and territories,1985-07,state,South Australia,,Trend,Number,A422474C,1087
07,Total number of dwelling units approved - states and territories,1985-08,state,South Australia,,Original,Number,A422466C,1073
07,Total number of dwelling units approved - states and territories,1985-08,state,South Australia,,Seasonally Adjusted,Number,A422472X,1087
07,Total number of dwelling units approved - states and territories,1985-08,state,South Australia,,Trend,Number,A422474C,1035
07,Total number of dwelling units approved - states and territories,1985-09,state,South Australia,,Original,Number,A422466C,977
07,Total number of dwelling units approved - states and territories,1985-09,state,South Australia,,Seasonally Adjusted,Number,A422472X,948
07,Total number of dwelling units approved - states and territories,1985-09,state,South Australia,,Trend,Number,A422474C,987
07,Total number of dwelling units approved - states and territories,1985-10,state,South Australia,,Original,Number,A422466C,1173
07,Total number of dwelling units approved - states and territories,1985-10,state,South Australia,,Seasonally Adjusted,Number,A422472X,1145
07,Total number of dwelling units approved - states and territories,1985-10,state,South Australia,,Trend,Number,A422474C,952
07,Total number of dwelling units approved - states and territories,1985-11,state,South Australia,,Original,Number,A422466C,833
07,Total number of dwelling units approved - states and territories,1985-11,state,South Australia,,Seasonally Adjusted,Number,A422472X,813
07,Total number of dwelling units approved - states and territories,1985-11,state,South Australia,,Trend,Number,A422474C,931
07,Total number of dwelling units approved - states and territories,1985-12,state,South Australia,,Original,Number,A422466C,808
07,Total number of dwelling units approved - states and territories,1985-12,state,South Australia,,Seasonally Adjusted,Number,A422472X,803
07,Total number of dwelling units approved - states and territories,1985-12,state,South Australia,,Trend,Number,A422474C,910
07,Total number of dwelling units approved - states and territories,1986-01,state,South Australia,,Original,Number,A422466C,896
07,Total number of dwelling units approved - states and territories,1986-01,state,South Australia,,Seasonally Adjusted,Number,A422472X,1021
07,Total number of dwelling units approved - states and territories,1986-01,state,South Australia,,Trend,Number,A422474C,881
07,Total number of dwelling units approved - states and territories,1986-02,state,South Australia,,Original,Number,A422466C,663
07,Total number of dwelling units approved - states and territories,1986-02,state,South Australia,,Seasonally Adjusted,Number,A422472X,779
07,Total number of dwelling units approved - states and territories,1986-02,state,South Australia,,Trend,Number,A422474C,860
07,Total number of dwelling units approved - states and territories,1986-03,state,South Australia,,Original,Number,A422466C,1025
07,Total number of dwelling units approved - states and territories,1986-03,state,South Australia,,Seasonally Adjusted,Number,A422472X,976
07,Total number of dwelling units approved - states and territories,1986-03,state,South Australia,,Trend,Number,A422474C,854
07,Total number of dwelling units approved - states and territories,1986-04,state,South Australia,,Original,Number,A422466C,837
07,Total number of dwelling units approved - states and territories,1986-04,state,South Australia,,Seasonally Adjusted,Number,A422472X,798
07,Total number of dwelling units approved - states and territories,1986-04,state,South Australia,,Trend,Number,A422474C,859
07,Total number of dwelling units approved - states and territories,1986-05,state,South Australia,,Original,Number,A422466C,738
07,Total number of dwelling units approved - states and territories,1986-05,state,South Australia,,Seasonally Adjusted,Number,A422472X,693
07,Total number of dwelling units approved - states and territories,1986-05,state,South Australia,,Trend,Number,A422474C,866
07,Total number of dwelling units approved - states and territories,1986-06,state,South Australia,,Original,Number,A422466C,1073
07,Total number of dwelling units approved - states and territories,1986-06,state,South Australia,,Seasonally Adjusted,Number,A422472X,988
07,Total number of dwelling units approved - states and territories,1986-06,state,South Australia,,Trend,Number,A422474C,865
07,Total number of dwelling units approved - states and territories,1986-07,state,South Australia,,Original,Number,A422466C,1002
07,Total number of dwelling units approved - states and territories,1986-07,state,South Australia,,Seasonally Adjusted,Number,A422472X,991
07,Total number of dwelling units approved - states and territories,1986-07,state,South Australia,,Trend,Number,A422474C,863
07,Total number of dwelling units approved - states and territories,1986-08,state,South Australia,,Original,Number,A422466C,721
07,Total number of dwelling units approved - states and territories,1986-08,state,South Australia,,Seasonally Adjusted,Number,A422472X,762
07,Total number of dwelling units approved - states and territories,1986-08,state,South Australia,,Trend,Number,A422474C,854
07,Total number of dwelling units approved - states and territories,1986-09,state,South Australia,,Original,Number,A422466C,862
07,Total number of dwelling units approved - states and territories,1986-09,state,South Australia,,Seasonally Adjusted,Number,A422472X,841
07,Total number of dwelling units approved - states and territories,1986-09,state,South Australia,,Trend,Number,A422474C,833
07,Total number of dwelling units approved - states and territories,1986-10,state,South Australia,,Original,Number,A422466C,756
07,Total number of dwelling units approved - states and territories,1986-10,state,South Australia,,Seasonally Adjusted,Number,A422472X,753
07,Total number of dwelling units approved - states and territories,1986-10,state,South Australia,,Trend,Number,A422474C,803
07,Total number of dwelling units approved - states and territories,1986-11,state,South Australia,,Original,Number,A422466C,787
07,Total number of dwelling units approved - states and territories,1986-11,state,South Australia,,Seasonally Adjusted,Number,A422472X,766
07,Total number of dwelling units approved - states and territories,1986-11,state,South Australia,,Trend,Number,A422474C,768
07,Total number of dwelling units approved - states and territories,1986-12,state,South Australia,,Original,Number,A422466C,870
07,Total number of dwelling units approved - states and territories,1986-12,state,South Australia,,Seasonally Adjusted,Number,A422472X,847
07,Total number of dwelling units approved - states and territories,1986-12,state,South Australia,,Trend,Number,A422474C,737
07,Total number of dwelling units approved - states and territories,1987-01,state,South Australia,,Original,Number,A422466C,533
07,Total number of dwelling units approved - states and territories,1987-01,state,South Australia,,Seasonally Adjusted,Number,A422472X,649
07,Total number of dwelling units approved - states and territories,1987-01,state,South Australia,,Trend,Number,A422474C,712
07,Total number of dwelling units approved - states and territories,1987-02,state,South Australia,,Original,Number,A422466C,573
07,Total number of dwelling units approved - states and territories,1987-02,state,South Australia,,Seasonally Adjusted,Number,A422472X,675
07,Total number of dwelling units approved - states and territories,1987-02,state,South Australia,,Trend,Number,A422474C,687
07,Total number of dwelling units approved - states and territories,1987-03,state,South Australia,,Original,Number,A422466C,885
07,Total number of dwelling units approved - states and territories,1987-03,state,South Australia,,Seasonally Adjusted,Number,A422472X,845
07,Total number of dwelling units approved - states and territories,1987-03,state,South Australia,,Trend,Number,A422474C,669
07,Total number of dwelling units approved - states and territories,1987-04,state,South Australia,,Original,Number,A422466C,761
07,Total number of dwelling units approved - states and territories,1987-04,state,South Australia,,Seasonally Adjusted,Number,A422472X,687
07,Total number of dwelling units approved - states and territories,1987-04,state,South Australia,,Trend,Number,A422474C,671
07,Total number of dwelling units approved - states and territories,1987-05,state,South Australia,,Original,Number,A422466C,664
07,Total number of dwelling units approved - states and territories,1987-05,state,South Australia,,Seasonally Adjusted,Number,A422472X,650
07,Total number of dwelling units approved - states and territories,1987-05,state,South Australia,,Trend,Number,A422474C,685
07,Total number of dwelling units approved - states and territories,1987-06,state,South Australia,,Original,Number,A422466C,778
