STATE,Grand Total Intent Registrations,State % of Total Intent Registrations,% Variance from previous month
NSW,2039971,47.23%,-0.07%
VIC,448010,10.37%,-0.15%
QLD,631076,14.61%,-0.08%
SA,546548,12.65%,0.06%
WA,473083,10.95%,-0.28%
TAS,147001,3.40%,-0.08%
NT,8079,0.19%,-0.38%
ACT,25602,0.59%,-0.27%
TOTAL,4319370,100.00%,-0.09%
