STATE,Grand Total Intent Registrations,State % of Total Intent Registrations,% Variance from previous month
NSW,1978839,46.46%,-0.07%
VIC,426408,10.01%,-0.04%
QLD,616610,14.48%,0.04%
SA,625204,14.68%,0.28%
WA,440950,10.35%,-0.04%
TAS,139790,3.28%,0.01%
NT,7130,0.17%,-0.15%
ACT,24421,0.57%,0.21%
TOTAL,4259352,100.00%,0.01%
