STATE,Grand Total Intent Registrations,State % of Total Intent Registrations,% Variance from previous month
NSW,1992055,46.74%,-0.02%
VIC,429887,10.09%,0.14%
QLD,618752,14.52%,0.10%
SA,605464,14.21%,0.36%
WA,443163,10.40%,0.02%
TAS,140655,3.30%,-0.04%
NT,7211,0.17%,0.24%
ACT,24622,0.58%,0.98%
TOTAL,4261809,100.00%,0.08%
