STATE,Grand Total Intent Registrations,State % of Total Intent Registrations,% Variance from previous month
NSW,2012793,47.14%,-0.05%
VIC,438633,10.27%,-0.06%
QLD,621889,14.57%,-0.04%
SA,567772,13.30%,0.55%
WA,452609,10.60%,-0.13%
TAS,143945,3.37%,-0.06%
NT,7486,0.18%,-0.12%
ACT,24608,0.58%,-0.06%
TOTAL,4269735,100.00%,0.02%
