"State","16-17","18-24","25-34","35-44","45-54","55-64","65+","Total","% of ABS Estimated Population"
NSW,145,3604,17172,24894,28957,31813,57328,163913,5.6%
VIC,75,5059,29761,34188,33155,31186,42644,176068,7.8%
QLD,74,2807,16565,22968,26598,27328,41735,138075,7.6%
SA,2975,9261,13088,11741,13490,13891,22946,87392,13.1%
WA,26,2895,17179,19727,21098,20280,27058,108263,10.7%
TAS,8,575,2652,3111,3768,4446,6161,20721,10.2%
NT,0,115,844,1034,1133,1018,767,4911,5.0%
ACT,7,605,3261,3273,3075,2732,3348,16301,10.8%
TOTAL,3310,24921,100522,120936,131274,132694,201987,715644,7.8%
