"State","Total Legally Valid Consent Registrations (Including Intent Registrations of 16 & 17 year olds)","State % of Legally Valid Consent Registrations (Including Intent Registrations of 16 & 17 year olds)","% Variance from previous month"
NSW,427004,22.71%,0.51%
VIC,470027,25.01%,0.43%
QLD,371814,19.78%,0.42%
SA,214732,11.42%,0.35%
WA,284142,15.12%,0.21%
TAS,56137,2.99%,0.27%
NT,13692,0.73%,0.01%
ACT,42003,2.23%,0.40%
TOTAL,1879551,99.99%,0.39%
