STATE,Total Legally Valid Consent Registrations (Including Intent Registrations of 16 & 17 year olds),State % of Legally Valid Consent Registrations (Including Intent Registrations of 16 & 17 year olds),% Variance from previous month
NSW,351880,21.58%,0.43%
VIC,405203,24.85%,0.43%
QLD,330765,20.28%,0.26%
SA,177583,10.89%,0.75%
WA,265043,16.25%,0.21%
TAS,51075,3.13%,0.62%
NT,13088,0.80%,0.22%
ACT,36032,2.21%,0.49%
TOTAL,1630669,100.00%,0.40%
