disease_condition,YTD_2026,YTD_2025,Total_2025,YTD_2024,Total_2024,YTD_2023,Total_2023,YTD_2022,Total_2022,YTD_2021,Total_2021
Barmah Forest virus,3,3,3,2,6,3,4,2,5,1,2
Botulism,0,0,0,1,2,1,1,2,3,0,0
Brucellosis,0,0,0,0,0,0,1,0,0,0,0
Campylobacter,1373,1282,2884,1518,2970,1600,3348,1397,3393,1333,2925
Candida auris,4,4,5,1,1,4,4,1,3,0,0
Carbapenemase-producing Enterobacterales (CPE),53,98,134,25,62,27,55,25,38,16,23
Chikungunya virus,5,4,12,1,1,1,2,1,2,0,1
Chlamydia,2598,2948,5461,3093,5808,3465,6412,2737,5619,2810,5517
Chlamydia (Lymphogranuloma venereum),0,2,5,1,7,3,5,1,1,4,4
Cholera,0,0,0,0,0,0,0,0,0,0,0
COVID-19,3541,7011,11347,12372,18954,21946,31502,366613,489909,237,12709
Creutzfeldt-Jakob disease,5,1,4,4,5,0,4,4,8,1,3
Cryptosporidiosis,123,196,315,529,730,76,196,52,121,52,107
Dengue Fever,23,54,94,65,114,19,39,1,28,0,1
Diphtheria,11,2,2,0,0,0,0,0,0,2,2
Donovanosis,0,0,0,0,0,0,0,0,0,0,0
Gonorrhoea,1296,1216,2403,1276,2462,1185,2262,847,1789,769,1433
"Group A Streptococcal, Invasive",44,34,112,68,103,71,172,41,82,0,14
Haemolytic uraemic syndrome (HUS),0,3,3,0,0,2,2,0,0,0,2
"Haemophilus influenzae, Invasive",7,10,28,10,21,15,29,7,22,8,19
Hepatitis A,12,10,15,13,19,5,9,0,2,0,0
Hepatitis B - Newly acquired,3,1,2,1,2,0,2,0,0,1,2
Hepatitis B - Unspecified,133,140,276,133,260,109,237,90,192,109,198
Hepatitis C - Newly acquired,17,10,30,6,13,19,31,11,19,10,14
Hepatitis C - Unspecified,54,124,226,133,228,121,255,88,200,121,225
Hepatitis D,4,4,9,6,10,1,8,1,4,6,8
Hepatitis E,1,0,2,0,0,0,1,0,1,2,2
HIV - Newly acquired,18,19,35,14,31,17,33,7,22,14,21
Influenza,2129,12104,36243,7267,22936,8420,22405,7546,12083,16,40
Japanese encephalitis virus,0,0,0,0,0,0,0,9,10,0,0
Legionella longbeachae,38,21,64,12,37,13,34,16,34,16,29
Legionella pneumophila,9,21,37,17,34,9,17,14,24,7,9
Leprosy,0,1,2,0,1,0,0,0,0,0,0
Leptospirosis,1,0,1,2,3,1,1,2,4,0,0
Listeria,2,2,4,0,2,1,2,1,2,1,1
Malaria,8,11,19,15,27,8,27,4,12,4,8
Measles,4,3,7,6,6,3,3,0,0,0,0
"Meningococcal disease, Invasive",9,5,15,13,30,11,21,6,14,5,12
Mpox,5,1,2,4,9,0,0,1,2,0,0
Mumps,7,7,22,11,17,3,11,1,4,2,3
Murray Valley encephalitis,0,0,0,0,0,1,1,0,0,0,0
Paratyphoid,0,6,8,5,7,6,8,1,4,0,0
Pertussis,883,1779,3678,250,1853,29,142,12,40,18,33
"Pneumococcal, Invasive",87,92,250,114,231,91,222,66,176,83,158
Psittacosis/Ornithosis,0,1,1,0,1,0,1,0,0,0,0
Q Fever,5,12,29,11,23,10,21,3,6,10,18
Respiratory Syncytial Virus,2994,3359,12925,5234,12195,4410,12216,596,9551,0,68
RF/RHD,12,83,153,48,206,37,76,29,63,18,48
Ross River Virus,75,93,106,18,25,81,103,189,219,71,103
Rotavirus,502,483,1052,293,673,496,1519,269,493,119,495
Rubella,0,0,0,0,0,0,0,0,0,0,0
Rubella Syndrome - Congenital,0,0,0,0,0,0,0,0,0,0,0
Salmonella,464,344,605,447,763,373,685,310,570,317,554
Shiga toxin producing E. coli (STEC),142,162,291,156,284,148,290,142,272,96,226
Shigella,118,109,196,98,179,120,213,43,92,30,71
Syphilis - Congenital,0,1,1,2,2,0,0,0,0,0,0
Syphilis (<2 years),109,120,204,118,230,193,323,111,295,111,247
Syphilis (>2 years or unspecified),38,41,68,54,102,41,81,33,68,32,70
Tetanus,0,0,0,0,1,0,0,0,0,0,0
Typhoid Fever (S Typhi),8,13,19,10,20,19,25,4,12,0,1
Varicella virus,1687,1722,3407,1763,3402,1860,3765,1670,3356,2029,4063
Vibrio parahaemolyticus,15,3,8,3,4,1,5,7,7,8,78
Yersinia,26,15,38,58,94,119,213,47,112,30,86
