disease_condition,week_ending,notification_count
Haemolytic uraemic syndrome (HUS),2026-05-30,0
Haemolytic uraemic syndrome (HUS),2026-06-06,0
Haemolytic uraemic syndrome (HUS),2026-06-13,0
Haemolytic uraemic syndrome (HUS),2026-06-20,0
Haemolytic uraemic syndrome (HUS),2026-06-27,0
Haemolytic uraemic syndrome (HUS),2026-07-04,0
"Haemophilus influenzae, Invasive",2026-05-16,0
"Haemophilus influenzae, Invasive",2026-05-23,0
"Haemophilus influenzae, Invasive",2026-05-30,1
"Haemophilus influenzae, Invasive",2026-06-06,1
"Haemophilus influenzae, Invasive",2026-06-13,0
"Haemophilus influenzae, Invasive",2026-06-20,0
"Haemophilus influenzae, Invasive",2026-06-27,2
"Haemophilus influenzae, Invasive",2026-07-04,0
Hepatitis A,2026-05-16,0
Hepatitis A,2026-05-23,0
Hepatitis A,2026-05-30,0
Hepatitis A,2026-06-06,0
Hepatitis A,2026-06-13,1
Hepatitis A,2026-06-20,0
Hepatitis A,2026-06-27,0
Hepatitis A,2026-07-04,0
Hepatitis B - Newly acquired,2026-05-16,0
Hepatitis B - Newly acquired,2026-05-23,1
Hepatitis B - Newly acquired,2026-05-30,0
Hepatitis B - Newly acquired,2026-06-06,0
Hepatitis B - Newly acquired,2026-06-13,0
Hepatitis B - Newly acquired,2026-06-20,1
Hepatitis B - Newly acquired,2026-06-27,0
Hepatitis B - Newly acquired,2026-07-04,0
Hepatitis B - Unspecified,2026-05-16,5
Hepatitis B - Unspecified,2026-05-23,10
Hepatitis B - Unspecified,2026-05-30,4
Hepatitis B - Unspecified,2026-06-06,3
Hepatitis B - Unspecified,2026-06-13,5
Hepatitis B - Unspecified,2026-06-20,7
Hepatitis B - Unspecified,2026-06-27,8
Hepatitis B - Unspecified,2026-07-04,4
Hepatitis C - Newly acquired,2026-05-16,1
Hepatitis C - Newly acquired,2026-05-23,2
Hepatitis C - Newly acquired,2026-05-30,1
Hepatitis C - Newly acquired,2026-06-06,1
Hepatitis C - Newly acquired,2026-06-13,0
Hepatitis C - Newly acquired,2026-06-20,0
Hepatitis C - Newly acquired,2026-06-27,0
Hepatitis C - Newly acquired,2026-07-04,0
Hepatitis C - Unspecified,2026-05-16,3
Hepatitis C - Unspecified,2026-05-23,4
Hepatitis C - Unspecified,2026-05-30,3
Hepatitis C - Unspecified,2026-06-06,1
Hepatitis C - Unspecified,2026-06-13,0
Hepatitis C - Unspecified,2026-06-20,2
Hepatitis C - Unspecified,2026-06-27,4
Hepatitis C - Unspecified,2026-07-04,1
Hepatitis D,2026-05-16,0
Hepatitis D,2026-05-23,0
Hepatitis D,2026-05-30,0
Hepatitis D,2026-06-06,1
Hepatitis D,2026-06-13,0
Hepatitis D,2026-06-20,0
Hepatitis D,2026-06-27,0
Hepatitis D,2026-07-04,0
Hepatitis E,2026-05-16,0
Hepatitis E,2026-05-23,0
Hepatitis E,2026-05-30,0
Hepatitis E,2026-06-06,0
Hepatitis E,2026-06-13,0
Hepatitis E,2026-06-20,0
Hepatitis E,2026-06-27,0
Hepatitis E,2026-07-04,0
Influenza,2026-05-16,28
Influenza,2026-05-23,34
Influenza,2026-05-30,49
Influenza,2026-06-06,40
Influenza,2026-06-13,43
Influenza,2026-06-20,46
Influenza,2026-06-27,42
Influenza,2026-07-04,44
Japanese encephalitis virus,2026-05-16,0
Japanese encephalitis virus,2026-05-23,0
Japanese encephalitis virus,2026-05-30,0
Japanese encephalitis virus,2026-06-06,0
Japanese encephalitis virus,2026-06-13,0
Japanese encephalitis virus,2026-06-20,0
Japanese encephalitis virus,2026-06-27,0
Japanese encephalitis virus,2026-07-04,0
Legionella longbeachae,2026-05-16,2
Legionella longbeachae,2026-05-23,3
Legionella longbeachae,2026-05-30,1
Legionella longbeachae,2026-06-06,1
Legionella longbeachae,2026-06-13,2
Legionella longbeachae,2026-06-20,4
Legionella longbeachae,2026-06-27,0
Legionella longbeachae,2026-07-04,1
Legionella pneumophila,2026-05-16,0
Legionella pneumophila,2026-05-23,0
Legionella pneumophila,2026-05-30,0
Legionella pneumophila,2026-06-06,0
Legionella pneumophila,2026-06-13,1
Legionella pneumophila,2026-06-20,0
Legionella pneumophila,2026-06-27,0
Legionella pneumophila,2026-07-04,0
Leprosy,2026-05-16,0
Leprosy,2026-05-23,0
