"State","16-17","18-24","25-34","35-44","45-54","55-64","65+","Total","% of ABS Estimated Population"
NSW,135,3370,16898,24820,28251,31186,55824,160484,5.5%
VIC,78,5253,29445,33980,32589,30678,41397,173420,7.7%
QLD,68,2855,16507,22805,26202,26990,40643,136070,7.5%
SA,2948,9439,12600,11725,13336,13730,22471,86249,12.9%
WA,27,3152,17097,19760,20882,20047,26425,107390,10.6%
TAS,5,608,2669,3080,3732,4402,6015,20511,10.1%
NT,0,128,838,1056,1108,1020,741,4891,5.0%
ACT,8,620,3199,3240,3032,2648,3240,15987,10.6%
TOTAL,3269,25425,99253,120466,129132,130701,196756,705002,7.7%
