"State","Total Legally Valid Consent Registrations (Including Intent Registrations of 16 & 17 year olds)","State % of Legally Valid Consent Registrations (Including Intent Registrations of 16 & 17 year olds)","% Variance from previous month"
NSW,416558,22.54%,0.64%
VIC,462219,25.02%,0.38%
QLD,365261,19.77%,0.57%
SA,211926,11.47%,0.49%
WA,281375,15.23%,0.27%
TAS,55445,3.00%,0.45%
NT,13635,0.74%,0.58%
ACT,41226,2.23%,0.44%
TOTAL,1847645,100.00%,0.48%
