"State","16-17","18-24","25-34","35-44","45-54","55-64","65+","Total","% of ABS Estimated Population"
NSW,456,8976,38180,48729,45237,45962,68534,256074,8.5%
VIC,321,16637,64004,61147,50383,44404,51903,288799,12.3%
QLD,364,9965,40556,46230,43317,40455,48304,229191,12.4%
SA,3201,14100,22169,19689,19536,19626,27356,125677,18.2%
WA,128,8684,36901,35801,32310,28590,31571,173985,17.5%
TAS,48,2075,6066,6254,6567,6699,7225,34934,16.8%
NT,9,451,2336,2127,1758,1292,771,8744,10.1%
ACT,39,1644,6213,5496,4257,3558,4032,25239,16.3%
TOTAL,4566,62532,216425,225473,203365,190586,239696,1142643,12.2%
