STATE,Grand Total Intent Registrations,State % of Total Intent Registrations,% Variance from previous month
NSW,2036836,47.25%,-0.09%
VIC,446483,10.36%,-0.22%
QLD,629803,14.61%,-0.12%
SA,547167,12.69%,0.05%
WA,470216,10.91%,-0.35%
TAS,146688,3.40%,-0.11%
NT,8036,0.19%,-0.45%
ACT,25398,0.59%,-0.70%
TOTAL,4310627,100.00%,-0.12%
