STATE,18-24,25-34,35-44,45-54,55-64,65+,Total,% of ABS Estimated Population
NSW,57752,212590,241608,218329,149696,117462,997437,35.39%
VIC,11672,65255,61827,51410,36496,27780,254440,11.81%
QLD,45650,82663,75008,50297,30693,18269,302580,17.88%
SA,28219,55993,57060,55605,41235,30672,268784,40.80%
WA,4771,44861,60612,55370,39162,30484,235260,27.79%
TAS,1082,12991,17687,17955,12380,10723,72818,36.11%
NT,264,1110,1392,1010,574,214,4564,5.81%
ACT,844,3511,3610,3115,2152,1436,14668,10.46%
TOTAL,150254,478974,518804,453091,312388,237040,2150551,25.03%
