STATE,Total Legally Valid Consent Registrations (Including Intent Registrations of 16 & 17 year olds),State % of Legally Valid Consent Registrations (Including Intent Registrations of 16 & 17 year olds),% Variance from previous month
NSW,372312,21.87%,1.07%
VIC,424797,24.95%,0.87%
QLD,340911,20.03%,0.57%
SA,189293,11.12%,1.64%
WA,270466,15.89%,0.35%
TAS,53142,3.12%,0.43%
NT,13379,0.79%,0.62%
ACT,37971,2.23%,0.91%
TOTAL,1702271,100.00%,0.84%
