STATE,Total Legally Valid Consent Registrations (Including Intent Registrations of 16 & 17 year olds),State % of Legally Valid Consent Registrations (Including Intent Registrations of 16 & 17 year olds),% Variance from previous month
NSW,319369,22.20%,0.45%
VIC,347254,24.14%,0.58%
QLD,303003,21.06%,0.42%
SA,146919,10.21%,0.81%
WA,236062,16.41%,0.73%
TAS,44582,3.10%,0.51%
NT,11326,0.79%,0.67%
ACT,30230,2.10%,0.89%
TOTAL,1438745,100.00%,0.57%
