STATE,Grand Total Intent Registrations,State % of Total Intent Registrations,% Variance from previous month
NSW,2030848,47.27%,-0.05%
VIC,443979,10.33%,-0.07%
QLD,627426,14.60%,-0.06%
SA,550494,12.81%,-0.17%
WA,465037,10.82%,-0.20%
TAS,145993,3.40%,-0.05%
NT,7850,0.18%,-0.58%
ACT,25035,0.58%,-0.12%
TOTAL,4296662,100.00%,-0.09%
