STATE,Total Legally Valid Consent Registrations (Including Intent Registrations of 16 & 17 year olds),State % of Legally Valid Consent Registrations (Including Intent Registrations of 16 & 17 year olds),% Variance from previous month
NSW,255782,25.68%,0.95%
VIC,241701,24.27%,1.48%
QLD,210633,21.15%,1.72%
SA,91206,9.16%,0.55%
WA,146110,14.67%,1.32%
TAS,25265,2.54%,7.25%
NT,7591,0.76%,2.47%
ACT,17786,1.79%,1.67%
TOTAL,996074,100.00%,1.43%
