STATE,Grand Total Intent Registrations,State % of Total Intent Registrations,% Variance from previous month
NSW,1996404,46.91%,-0.02%
VIC,429994,10.11%,-0.04%
QLD,618438,14.54%,0.02%
SA,593100,13.94%,0.24%
WA,443598,10.43%,-0.03%
TAS,141549,3.33%,-0.09%
NT,7195,0.17%,0.08%
ACT,24254,0.57%,0.11%
TOTAL,4254532,100.00%,0.02%
