STATE,Grand Total Intent Registrations,State % of Total Intent Registrations,% Variance from previous month
NSW,1994695,46.87%,-0.04%
VIC,429616,10.10%,-0.06%
QLD,618411,14.53%,-0.01%
SA,596761,14.02%,0.32%
WA,443440,10.42%,-0.02%
TAS,141353,3.32%,-0.06%
NT,7204,0.17%,0.15%
ACT,24282,0.57%,0.02%
TOTAL,4255762,100.00%,0.01%
