STATE,16-17,18-24,25-34,35-44,45-54,55-64,65+,Total,% of ABS Estimated Population
NSW,203,10588,26189,33146,31889,34497,38407,174919,6.21%
VIC,369,21848,40680,40139,32496,28931,25968,190431,8.84%
QLD,370,15484,30519,33882,32383,30452,25850,168940,9.98%
SA,1787,10415,11223,12777,12698,13279,13699,75878,11.52%
WA,242,15258,25844,25937,23589,19932,16457,127259,15.03%
TAS,90,2488,4152,4810,5016,4824,3599,24979,12.39%
NT,13,682,1652,1434,1149,762,305,5997,7.63%
ACT,84,1904,3712,3229,2602,2294,1815,15640,11.16%
TOTAL,3158,78667,143971,155354,141822,134971,126100,784043,9.13%
