STATE,Total Legally Valid Consent Registrations (Including Intent Registrations of 16 & 17 year olds),State % of Legally Valid Consent Registrations (Including Intent Registrations of 16 & 17 year olds),% Variance from previous month
NSW,294562,22.74%,0.47%
VIC,310931,24.01%,0.72%
QLD,277820,21.45%,0.47%
SA,127737,9.86%,1.15%
WA,208282,16.08%,0.89%
TAS,40577,3.13%,0.39%
NT,9520,0.74%,1.54%
ACT,25756,1.99%,1.39%
TOTAL,1295185,100.00%,0.69%
