STATE,Grand Total Intent Registrations,State % of Total Intent Registrations,% Variance from previous month
NSW,1996719,46.94%,-0.03%
VIC,430151,10.11%,-0.09%
QLD,618343,14.54%,-0.05%
SA,591686,13.91%,0.27%
WA,443713,10.43%,-0.09%
TAS,141683,3.33%,-0.17%
NT,7189,0.17%,0.07%
ACT,24227,0.57%,-0.03%
TOTAL,4253711,100.00%,-0.01%
