STATE,Total Legally Valid Consent Registrations (Including Intent Registrations of 16 & 17 year olds),State % of Legally Valid Consent Registrations (Including Intent Registrations of 16 & 17 year olds),% Variance from previous month
NSW,291929,22.83%,0.48%
VIC,307123,24.02%,0.67%
QLD,275281,21.53%,0.49%
SA,125145,9.79%,1.14%
WA,204611,16.00%,0.96%
TAS,40234,3.15%,0.55%
NT,9276,0.73%,1.38%
ACT,25188,1.97%,1.16%
TOTAL,1278787,100.00%,0.69%
