STATE,16-17,18-24,25-34,35-44,45-54,55-64,65+,Total,% of ABS Estimated Population
NSW,164,10323,26935,34462,32798,35428,40640,180750,6.29%
VIC,320,21776,43034,42255,33729,30000,27665,198779,9.01%
QLD,370,15588,31794,35295,33545,31558,27527,175677,10.09%
SA,1813,11015,11964,13492,13400,13926,14788,80398,12.04%
WA,199,15605,27100,27386,24822,21149,17720,133981,15.32%
TAS,58,2495,4248,4965,5128,5013,3822,25729,12.62%
NT,15,707,1763,1526,1215,819,341,6386,7.91%
ACT,59,1932,3950,3413,2753,2438,1961,16506,11.56%
TOTAL,2998,79441,150788,162794,147390,140331,134464,818206,9.31%
