STATE,Total Legally Valid Consent Registrations (Including Intent Registrations of 16 & 17 year olds),State % of Legally Valid Consent Registrations (Including Intent Registrations of 16 & 17 year olds),% Variance from previous month
NSW,303369,22.50%,0.36%
VIC,323809,24.01%,0.49%
QLD,287798,21.34%,0.39%
SA,135163,10.02%,0.86%
WA,219224,16.26%,0.64%
TAS,41742,3.10%,0.47%
NT,10127,0.75%,0.98%
ACT,27155,2.01%,0.81%
TOTAL,1348387,100.00%,0.51%
