STATE,Grand Total Intent Registrations,State % of Total Intent Registrations,% Variance from previous month
NSW,2042476,47.22%,-0.08%
VIC,449245,10.39%,-0.22%
QLD,632057,14.61%,-0.10%
SA,545571,12.61%,-0.28%
WA,475122,10.98%,-0.26%
TAS,147280,3.40%,-0.15%
NT,8145,0.19%,-0.46%
ACT,25719,0.59%,-0.19%
TOTAL,4325615,100.00%,-0.14%
