table_code,table_title,source_file,workbook_label,sheet,n_rows,dimension_columns,value_columns,notes
S1a,"Young people under supervision on an average day(a) by age, states and territories, 2024–25",s1-s33.xlsx,Characteristics of young people under supervision,Table S1,11,age,nsw; vic; qld; wa; sa; tas; act; nt; australia,"(a) Number of young people on an average day may not sum to total due to rounding. | – represents zero or rounded to zero | Note: | 1. Age on an average day is calculated based on the age a young person is each day that they are under supervision. If a young person changes age during a period of supervision, the average daily number under supervision will reflect this. Average daily data broken down by age will not be comparable with data in Youth justice in Australia releases before 2019–20. | 2. Number of young people on an average day not available for the Northern Territory in 2024-25. | Source: AIHW Youth Justice National Minimum Dataset (YJ NMDS) 2000–01 to 2024–25."
S1b,"Young people under supervision during the year by age, states and territories, 2024–25",s1-s33.xlsx,Characteristics of young people under supervision,Table S1,8,age,nsw; vic; qld; wa; sa; tas; act; nt; australia,"Note: Age calculated as at start of financial year if first period of supervision in the relevant year began before the start of the financial year, otherwise age calculated as at start of first period of supervision in the relevant year. | Source: AIHW Youth Justice National Minimum Dataset (YJ NMDS) 2000–01 to 2024–25."
S2a,"Young people under supervision on an average day(a) by sex and Indigenous status, states and territories, 2024–25",s1-s33.xlsx,Characteristics of young people under supervision,Table S2,16,sex; indigenous_status,nsw; vic; qld; wa; sa; tas; act; nt; australia,
S2b,"Young people under supervision during the year by sex and Indigenous status, states and territories, 2024–25",s1-s33.xlsx,Characteristics of young people under supervision,Table S2,16,sex; indigenous_status,nsw; vic; qld; wa; sa; tas; act; nt; australia,
S3a,"Young people aged 10–17 under supervision on an average day(a) by sex and Indigenous status, states and territories, 2024–25",s1-s33.xlsx,Characteristics of young people under supervision,Table S3,16,sex; indigenous_status,nsw; vic; qld; wa; sa; tas; act; nt; australia,
S3b,"Young people aged 10–17 under supervision during the year by sex and Indigenous status, states and territories, 2024–25",s1-s33.xlsx,Characteristics of young people under supervision,Table S3,16,sex; indigenous_status,nsw; vic; qld; wa; sa; tas; act; nt; australia,
S4a,"Young people aged 10–17 under supervision on an average day by sex and Indigenous status, states and territories, 2024–25 (rate)",s1-s33.xlsx,Characteristics of young people under supervision,Table S4,9,sex; indigenous_status,nsw; vic; qld; wa; sa; tas; act; nt; australia,
S4b,"Young people aged 10–17 under supervision during the year by sex and Indigenous status, states and territories, 2024–25 (rate)",s1-s33.xlsx,Characteristics of young people under supervision,Table S4,9,sex; indigenous_status,nsw; vic; qld; wa; sa; tas; act; nt; australia,
S5a,"Young people under supervision on an average day(a) by age, sex and Indigenous status, Australia, 2024–25",s1-s33.xlsx,Characteristics of young people under supervision,Table S5,16,sex; indigenous_status,10; 11; 12; 13; 14; 15; 16; 17; 10_17; 18plus; total,
S5b,"Young people under supervision during the year, by age sex and Indigenous status, Australia , 2024–25",s1-s33.xlsx,Characteristics of young people under supervision,Table S5,16,sex; indigenous_status,10_11; 12; 13; 14; 15; 16; 17; 10_17; 18plus; total,
