STATE,18-24,25-34,35-44,45-54,55-64,65+,Total,% of ABS Estimated Population
NSW,12764,191083,233606,228195,182197,177529,1025374,35.95%
VIC,1893,39495,42202,40183,30740,28696,183209,8.32%
QLD,17527,97594,85290,58493,36619,27345,322868,18.24%
SA,25956,61930,59282,57518,48302,45974,298962,45.80%
WA,951,28746,55226,54069,43348,41102,223442,24.15%
TAS,188,8391,16728,17287,14558,15148,72300,36.71%
NT,58,389,950,919,589,311,3216,3.55%
ACT,225,1557,2713,2417,1878,1485,10275,7.21%
TOTAL,59562,429185,495997,459081,358231,337590,2139646,24.23%
