STATE,18-24,25-34,35-44,45-54,55-64,65+,Total,% of ABS Estimated Population
NSW,12767,193568,237258,222334,165328,145431,976686,33.13%
VIC,4105,56473,60675,52054,38997,33483,245787,10.82%
QLD,17265,88162,78266,55011,34441,23287,296432,16.51%
SA,23936,59470,58068,56742,44825,38312,281353,41.46%
WA,1750,31333,56433,54422,41141,36383,221462,24.51%
TAS,444,9150,16677,17643,13520,12956,70390,34.11%
NT,160,853,1226,1008,591,241,4079,4.88%
ACT,486,2939,3701,3057,2157,1687,14027,9.63%
TOTAL,60913,441948,512304,462271,341000,291780,2110216,23.36%
