STATE,Grand Total Intent Registrations,State % of Total Intent Registrations,% Variance from previous month
NSW,2002093,47.05%,-0.03%
VIC,432829,10.17%,-0.09%
QLD,619302,14.55%,0.01%
SA,580512,13.64%,0.23%
WA,446206,10.49%,-0.07%
TAS,142690,3.35%,-0.02%
NT,7295,0.17%,0.07%
ACT,24302,0.57%,0.01%
TOTAL,4255229,100.00%,0.00%
