STATE,Grand Total Intent Registrations,State % of Total Intent Registrations,% Variance from previous month
NSW,2027005,47.27%,-0.06%
VIC,442791,10.33%,-0.12%
QLD,625885,14.59%,-0.10%
SA,552415,12.88%,-0.19%
WA,461953,10.77%,-0.22%
TAS,145612,3.40%,-0.08%
NT,7788,0.18%,-0.61%
ACT,24904,0.58%,-0.25%
TOTAL,4288353,100.00%,-0.11%
