STATE,Total Legally Valid Consent Registrations (Including Intent Registrations of 16 & 17 year olds),State % of Legally Valid Consent Registrations (Including Intent Registrations of 16 & 17 year olds),% Variance from previous month
NSW,331472,21.91%,0.48%
VIC,369960,24.46%,0.91%
QLD,313881,20.75%,0.51%
SA,156856,10.37%,0.92%
WA,249055,16.46%,0.53%
TAS,46776,3.09%,0.59%
NT,12214,0.81%,1.60%
ACT,32478,2.15%,0.99%
TOTAL,1512692,100.00%,0.67%
