STATE,Grand Total Intent Registrations,State % of Total Intent Registrations,% Variance from previous month
NSW,2057447,47.31%,-0.14%
VIC,453898,10.44%,-0.13%
QLD,632537,14.54%,-0.18%
SA,543357,12.49%,-0.12%
WA,479372,11.02%,-0.41%
TAS,147652,3.39%,-0.31%
NT,9188,0.21%,-0.70%
ACT,25653,0.59%,-0.56%
TOTAL,4349104,100.00%,-0.18%
