STATE,Grand Total Intent Registrations,State % of Total Intent Registrations,% Variance from previous month
NSW,1977339,46.43%,-0.08%
VIC,425960,10.00%,-0.11%
QLD,616160,14.47%,-0.07%
SA,627153,14.73%,0.31%
WA,440768,10.35%,-0.04%
TAS,139682,3.28%,-0.08%
NT,7127,0.17%,-0.04%
ACT,24365,0.57%,-0.23%
TOTAL,4258554,100.00%,-0.02%
