Employment Category,Role,Full-time/Part-time,fin_year,Headcount
Children's Services Act,Early childhood workers supporting preschool leaders and teachers,Full-time,2014,92
Children's Services Act,Early childhood workers supporting preschool leaders and teachers,Full-time,2015,93
Children's Services Act,Early childhood workers supporting preschool leaders and teachers,Full-time,2016,122
Children's Services Act,Early childhood workers supporting preschool leaders and teachers,Full-time,2017,121
Children's Services Act,Early childhood workers supporting preschool leaders and teachers,Full-time,2018,119
Children's Services Act,Early childhood workers supporting preschool leaders and teachers,Full-time,2019,104
Children's Services Act,Early childhood workers supporting preschool leaders and teachers,Full-time,2020,109
Children's Services Act,Early childhood workers supporting preschool leaders and teachers,Part-time,2014,922
Children's Services Act,Early childhood workers supporting preschool leaders and teachers,Part-time,2015,967
Children's Services Act,Early childhood workers supporting preschool leaders and teachers,Part-time,2016,979
Children's Services Act,Early childhood workers supporting preschool leaders and teachers,Part-time,2017,1027
Children's Services Act,Early childhood workers supporting preschool leaders and teachers,Part-time,2018,1030
Children's Services Act,Early childhood workers supporting preschool leaders and teachers,Part-time,2019,988
Children's Services Act,Early childhood workers supporting preschool leaders and teachers,Part-time,2020,925
Children's Services Act,Preschool directors,Full-time,2014,196
Children's Services Act,Preschool directors,Full-time,2015,200
Children's Services Act,Preschool directors,Full-time,2016,213
Children's Services Act,Preschool directors,Full-time,2017,209
Children's Services Act,Preschool directors,Full-time,2018,206
Children's Services Act,Preschool directors,Full-time,2019,220
Children's Services Act,Preschool directors,Full-time,2020,211
Children's Services Act,Preschool directors,Part-time,2014,111
Children's Services Act,Preschool directors,Part-time,2015,108
Children's Services Act,Preschool directors,Part-time,2016,98
Children's Services Act,Preschool directors,Part-time,2017,97
Children's Services Act,Preschool directors,Part-time,2018,89
Children's Services Act,Preschool directors,Part-time,2019,82
Children's Services Act,Preschool directors,Part-time,2020,78
Children's Services Act,Preschool teachers,Full-time,2014,147
Children's Services Act,Preschool teachers,Full-time,2015,159
Children's Services Act,Preschool teachers,Full-time,2016,152
Children's Services Act,Preschool teachers,Full-time,2017,167
Children's Services Act,Preschool teachers,Full-time,2018,172
Children's Services Act,Preschool teachers,Full-time,2019,156
Children's Services Act,Preschool teachers,Full-time,2020,189
Children's Services Act,Preschool teachers,Part-time,2014,407
Children's Services Act,Preschool teachers,Part-time,2015,437
Children's Services Act,Preschool teachers,Part-time,2016,472
Children's Services Act,Preschool teachers,Part-time,2017,501
Children's Services Act,Preschool teachers,Part-time,2018,489
Children's Services Act,Preschool teachers,Part-time,2019,492
Children's Services Act,Preschool teachers,Part-time,2020,491
Education & Children's Services Act,Aboriginal community education officers supporting Aboriginal programs and services,Full-time,2021,116
Education & Children's Services Act,Aboriginal community education officers supporting Aboriginal programs and services,Full-time,2022,121
Education & Children's Services Act,Aboriginal community education officers supporting Aboriginal programs and services,Full-time,2023,123
Education & Children's Services Act,Aboriginal community education officers supporting Aboriginal programs and services,Full-time,2024,127
Education & Children's Services Act,Aboriginal community education officers supporting Aboriginal programs and services,Full-time,2025,130
Education & Children's Services Act,Aboriginal community education officers supporting Aboriginal programs and services,Part-time,2021,237
Education & Children's Services Act,Aboriginal community education officers supporting Aboriginal programs and services,Part-time,2022,222
Education & Children's Services Act,Aboriginal community education officers supporting Aboriginal programs and services,Part-time,2023,243
Education & Children's Services Act,Aboriginal community education officers supporting Aboriginal programs and services,Part-time,2024,254
Education & Children's Services Act,Aboriginal community education officers supporting Aboriginal programs and services,Part-time,2025,273
Education & Children's Services Act,Early childhood workers supporting preschool leaders and teachers,Full-time,2021,102
Education & Children's Services Act,Early childhood workers supporting preschool leaders and teachers,Full-time,2022,96
Education & Children's Services Act,Early childhood workers supporting preschool leaders and teachers,Full-time,2023,94
Education & Children's Services Act,Early childhood workers supporting preschool leaders and teachers,Full-time,2024,98
Education & Children's Services Act,Early childhood workers supporting preschool leaders and teachers,Full-time,2025,88
Education & Children's Services Act,Early childhood workers supporting preschool leaders and teachers,Part-time,2021,917
Education & Children's Services Act,Early childhood workers supporting preschool leaders and teachers,Part-time,2022,892
Education & Children's Services Act,Early childhood workers supporting preschool leaders and teachers,Part-time,2023,948
Education & Children's Services Act,Early childhood workers supporting preschool leaders and teachers,Part-time,2024,929
Education & Children's Services Act,Early childhood workers supporting preschool leaders and teachers,Part-time,2025,995
Education & Children's Services Act,Preschool directors,Full-time,2021,206
Education & Children's Services Act,Preschool directors,Full-time,2022,206
Education & Children's Services Act,Preschool directors,Full-time,2023,203
Education & Children's Services Act,Preschool directors,Full-time,2024,211
Education & Children's Services Act,Preschool directors,Full-time,2025,203
Education & Children's Services Act,Preschool directors,Part-time,2021,85
Education & Children's Services Act,Preschool directors,Part-time,2022,89
Education & Children's Services Act,Preschool directors,Part-time,2023,89
Education & Children's Services Act,Preschool directors,Part-time,2024,81
Education & Children's Services Act,Preschool directors,Part-time,2025,88
Education & Children's Services Act,Preschool teachers,Full-time,2021,171
Education & Children's Services Act,Preschool teachers,Full-time,2022,156
Education & Children's Services Act,Preschool teachers,Full-time,2023,150
Education & Children's Services Act,Preschool teachers,Full-time,2024,168
Education & Children's Services Act,Preschool teachers,Full-time,2025,163
Education & Children's Services Act,Preschool teachers,Part-time,2021,537
Education & Children's Services Act,Preschool teachers,Part-time,2022,530
Education & Children's Services Act,Preschool teachers,Part-time,2023,560
Education & Children's Services Act,Preschool teachers,Part-time,2024,565
Education & Children's Services Act,Preschool teachers,Part-time,2025,599
Education & Children's Services Act,"School Principals, Deputy Principals, Leaders or Seniors",Full-time,2021,2752
Education & Children's Services Act,"School Principals, Deputy Principals, Leaders or Seniors",Full-time,2022,2847
Education & Children's Services Act,"School Principals, Deputy Principals, Leaders or Seniors",Full-time,2023,2882
Education & Children's Services Act,"School Principals, Deputy Principals, Leaders or Seniors",Full-time,2024,2952
Education & Children's Services Act,"School Principals, Deputy Principals, Leaders or Seniors",Full-time,2025,3004
Education & Children's Services Act,"School Principals, Deputy Principals, Leaders or Seniors",Part-time,2021,259
Education & Children's Services Act,"School Principals, Deputy Principals, Leaders or Seniors",Part-time,2022,254
Education & Children's Services Act,"School Principals, Deputy Principals, Leaders or Seniors",Part-time,2023,312
Education & Children's Services Act,"School Principals, Deputy Principals, Leaders or Seniors",Part-time,2024,311
Education & Children's Services Act,"School Principals, Deputy Principals, Leaders or Seniors",Part-time,2025,310
Education & Children's Services Act,School services officers providing administrative and teaching support in South Australian Government schools,Full-time,2021,1570
Education & Children's Services Act,School services officers providing administrative and teaching support in South Australian Government schools,Full-time,2022,1624
Education & Children's Services Act,School services officers providing administrative and teaching support in South Australian Government schools,Full-time,2023,1657
Education & Children's Services Act,School services officers providing administrative and teaching support in South Australian Government schools,Full-time,2024,1729
