Employment Category,Classification,fin_year,Headcount
Other,Government services employee level 4,2017,42
Other,Government services employee level 4,2018,43
Other,Government services employee level 4,2019,49
Other,Government services employee level 4,2020,50
Other,Government services employee level 4,2021,57
Other,Government services employee level 4,2022,59
Other,Government services employee level 4,2023,65
Other,Government services employee level 4,2024,66
Other,Government services employee level 4,2025,78
Other,Government services employee level 5,2014,41
Other,Government services employee level 5,2015,44
Other,Government services employee level 5,2016,42
Other,Government services employee level 5,2017,41
Other,Government services employee level 5,2018,46
Other,Government services employee level 5,2019,39
Other,Government services employee level 5,2020,37
Other,Government services employee level 5,2021,32
Other,Government services employee level 5,2022,34
Other,Government services employee level 5,2023,35
Other,Government services employee level 5,2024,34
Other,Government services employee level 5,2025,40
Other,Government services employee level 6,2014,3
Other,Government services employee level 6,2015,3
Other,Government services employee level 6,2016,3
Other,Government services employee level 6,2024,1
Other,Government services employee level 6,2025,3
Other,Government services employee level 7,2014,8
Other,Government services employee level 7,2015,4
Other,Government services employee level 7,2016,6
Other,Government services employee level 7,2017,7
Other,Government services employee level 7,2018,5
Other,Government services employee level 7,2019,5
Other,Government services employee level 7,2020,5
Other,Government services employee level 7,2021,6
Other,Government services employee level 7,2022,5
Other,Government services employee level 7,2023,5
Other,Government services employee level 7,2024,6
Other,Government services employee level 7,2025,9
Other,Government services employee trainees,2017,1
Other,Government services employee trainees,2018,1
Other,Government services employee trainees,2019,1
Other,Government services employee trainees,2020,1
Other,Government services employee trainees,2024,1
Other,Government services employee trainees,2025,2
Other,Health ancillary employee,2014,6
Other,Health ancillary employee,2015,4
Other,Health ancillary employee,2016,3
Public Sector Act,Administrative services officer (including PS Act trainees and level 1 to 8),2014,1336
Public Sector Act,Administrative services officer (including PS Act trainees and level 1 to 8),2015,1386
Public Sector Act,Administrative services officer (including PS Act trainees and level 1 to 8),2016,1341
Public Sector Act,Administrative services officer (including PS Act trainees and level 1 to 8),2017,1074
Public Sector Act,Administrative services officer (including PS Act trainees and level 1 to 8),2018,1171
Public Sector Act,Administrative services officer (including PS Act trainees and level 1 to 8),2019,1115
Public Sector Act,Administrative services officer (including PS Act trainees and level 1 to 8),2020,1079
Public Sector Act,Administrative services officer (including PS Act trainees and level 1 to 8),2021,1240
Public Sector Act,Administrative services officer (including PS Act trainees and level 1 to 8),2022,1291
Public Sector Act,Administrative services officer (including PS Act trainees and level 1 to 8),2023,1580
Public Sector Act,Administrative services officer (including PS Act trainees and level 1 to 8),2024,1686
Public Sector Act,Administrative services officer (including PS Act trainees and level 1 to 8),2025,1584
Public Sector Act,Allied health professional (level 1 to 5),2014,852
Public Sector Act,Allied health professional (level 1 to 5),2015,910
Public Sector Act,Allied health professional (level 1 to 5),2016,888
Public Sector Act,Allied health professional (level 1 to 5),2017,385
Public Sector Act,Allied health professional (level 1 to 5),2018,411
Public Sector Act,Allied health professional (level 1 to 5),2019,457
Public Sector Act,Allied health professional (level 1 to 5),2020,320
Public Sector Act,Allied health professional (level 1 to 5),2021,339
Public Sector Act,Allied health professional (level 1 to 5),2022,340
Public Sector Act,Allied health professional (level 1 to 5),2023,369
Public Sector Act,Allied health professional (level 1 to 5),2024,416
Public Sector Act,Allied health professional (level 1 to 5),2025,424
Public Sector Act,"Manager, administrative services (level 2)",2014,2
Public Sector Act,"Manager, administrative services (level 2)",2015,1
Public Sector Act,"Manager, administrative services (level 2)",2020,1
Public Sector Act,"Manager, administrative services (level 3)",2014,80
Public Sector Act,"Manager, administrative services (level 3)",2015,87
Public Sector Act,"Manager, administrative services (level 3)",2016,97
Public Sector Act,"Manager, administrative services (level 3)",2017,52
Public Sector Act,"Manager, administrative services (level 3)",2018,58
Public Sector Act,"Manager, administrative services (level 3)",2019,61
Public Sector Act,"Manager, administrative services (level 3)",2020,55
Public Sector Act,"Manager, administrative services (level 3)",2021,53
Public Sector Act,"Manager, administrative services (level 3)",2022,49
Public Sector Act,"Manager, administrative services (level 3)",2023,65
Public Sector Act,"Manager, administrative services (level 3)",2024,76
Public Sector Act,"Manager, administrative services (level 3)",2025,83
Public Sector Act,Operational services officer (level 1 to 5),2014,753
Public Sector Act,Operational services officer (level 1 to 5),2015,746
Public Sector Act,Operational services officer (level 1 to 5),2016,776
Public Sector Act,Operational services officer (level 1 to 5),2017,38
Public Sector Act,Operational services officer (level 1 to 5),2018,37
Public Sector Act,Operational services officer (level 1 to 5),2019,39
Public Sector Act,Operational services officer (level 1 to 5),2020,23
Public Sector Act,Operational services officer (level 1 to 5),2021,26
Public Sector Act,Operational services officer (level 1 to 5),2022,19
Public Sector Act,Operational services officer (level 1 to 5),2023,25
Public Sector Act,Operational services officer (level 1 to 5),2024,29
Public Sector Act,Operational services officer (level 1 to 5),2025,31
Public Sector Act,"Other (Legal Officer, Professional Officer, PS Act negotiated conditions)",2014,8
Public Sector Act,"Other (Legal Officer, Professional Officer, PS Act negotiated conditions)",2015,10
Public Sector Act,"Other (Legal Officer, Professional Officer, PS Act negotiated conditions)",2016,17
Public Sector Act,"Other (Legal Officer, Professional Officer, PS Act negotiated conditions)",2017,17
Public Sector Act,"Other (Legal Officer, Professional Officer, PS Act negotiated conditions)",2018,15
Public Sector Act,"Other (Legal Officer, Professional Officer, PS Act negotiated conditions)",2019,20
Public Sector Act,"Other (Legal Officer, Professional Officer, PS Act negotiated conditions)",2020,14
Public Sector Act,"Other (Legal Officer, Professional Officer, PS Act negotiated conditions)",2021,12
Public Sector Act,"Other (Legal Officer, Professional Officer, PS Act negotiated conditions)",2022,12
Public Sector Act,"Other (Legal Officer, Professional Officer, PS Act negotiated conditions)",2023,12
Public Sector Act,"Other (Legal Officer, Professional Officer, PS Act negotiated conditions)",2024,13
Public Sector Act,"Other (Legal Officer, Professional Officer, PS Act negotiated conditions)",2025,11
Public Sector Act,"PS Act executive levels (including PS Act executive, SA executive service levels and Commissioner for Children & Youth)",2014,39
Public Sector Act,"PS Act executive levels (including PS Act executive, SA executive service levels and Commissioner for Children & Youth)",2015,38
Public Sector Act,"PS Act executive levels (including PS Act executive, SA executive service levels and Commissioner for Children & Youth)",2016,48
Public Sector Act,"PS Act executive levels (including PS Act executive, SA executive service levels and Commissioner for Children & Youth)",2017,35
Public Sector Act,"PS Act executive levels (including PS Act executive, SA executive service levels and Commissioner for Children & Youth)",2018,46
Public Sector Act,"PS Act executive levels (including PS Act executive, SA executive service levels and Commissioner for Children & Youth)",2019,46
Public Sector Act,"PS Act executive levels (including PS Act executive, SA executive service levels and Commissioner for Children & Youth)",2020,54
Public Sector Act,"PS Act executive levels (including PS Act executive, SA executive service levels and Commissioner for Children & Youth)",2021,81
Public Sector Act,"PS Act executive levels (including PS Act executive, SA executive service levels and Commissioner for Children & Youth)",2022,80
Public Sector Act,"PS Act executive levels (including PS Act executive, SA executive service levels and Commissioner for Children & Youth)",2023,93
Public Sector Act,"PS Act executive levels (including PS Act executive, SA executive service levels and Commissioner for Children & Youth)",2024,103
Public Sector Act,"PS Act executive levels (including PS Act executive, SA executive service levels and Commissioner for Children & Youth)",2025,106
