Age Group,Gender,fin_year,Headcount
50-54,Male,2022,646
50-54,Male,2023,686
50-54,Male,2024,718
50-54,Male,2025,743
55-59,Male,2014,1176
55-59,Male,2015,1033
55-59,Male,2016,934
55-59,Male,2017,815
55-59,Male,2018,785
55-59,Male,2019,724
55-59,Male,2020,663
55-59,Male,2021,646
55-59,Male,2022,621
55-59,Male,2023,626
55-59,Male,2024,644
55-59,Male,2025,661
60-64,Male,2014,979
60-64,Male,2015,982
60-64,Male,2016,968
60-64,Male,2017,881
60-64,Male,2018,827
60-64,Male,2019,782
60-64,Male,2020,728
60-64,Male,2021,702
60-64,Male,2022,622
60-64,Male,2023,602
60-64,Male,2024,570
60-64,Male,2025,518
65+,Male,2014,398
65+,Male,2015,425
65+,Male,2016,449
65+,Male,2017,474
65+,Male,2018,483
65+,Male,2019,534
65+,Male,2020,564
65+,Male,2021,578
65+,Male,2022,576
65+,Male,2023,562
65+,Male,2024,576
65+,Male,2025,576
<20,Other,2024,1
20-24,Other,2019,1
20-24,Other,2020,3
20-24,Other,2022,4
20-24,Other,2023,3
20-24,Other,2024,5
20-24,Other,2025,6
25-29,Other,2019,1
25-29,Other,2021,2
25-29,Other,2022,4
25-29,Other,2023,8
25-29,Other,2024,7
25-29,Other,2025,7
30-34,Other,2021,1
30-34,Other,2022,2
30-34,Other,2024,5
30-34,Other,2025,8
35-39,Other,2023,1
35-39,Other,2024,1
35-39,Other,2025,4
40-44,Other,2019,2
40-44,Other,2020,1
40-44,Other,2023,2
40-44,Other,2024,2
40-44,Other,2025,2
45-49,Other,2019,1
45-49,Other,2020,2
45-49,Other,2021,2
45-49,Other,2022,1
45-49,Other,2023,2
45-49,Other,2024,2
45-49,Other,2025,1
50-54,Other,2022,1
50-54,Other,2023,1
50-54,Other,2024,2
50-54,Other,2025,2
55-59,Other,2021,1
55-59,Other,2022,2
55-59,Other,2023,2
55-59,Other,2024,5
55-59,Other,2025,4
60-64,Other,2021,1
60-64,Other,2022,2
60-64,Other,2023,2
60-64,Other,2024,3
60-64,Other,2025,5
65+,Other,2023,1
65+,Other,2024,2
65+,Other,2025,2
