category,jurisdiction,financial_year,value
,NSW,2019-20,17
,NSW,2020-21,9
,NSW,2021-22,7
,NSW,2022-23,6
,NSW,2023-24,8
,VIC,2019-20,8
,VIC,2020-21,6
,VIC,2021-22,6
,VIC,2022-23,6
,VIC,2023-24,7
,QLD,2019-20,2
,QLD,2020-21,1
,QLD,2021-22,5
,QLD,2022-23,5
,QLD,2023-24,4
,SA,2019-20,0
,SA,2020-21,2
,SA,2021-22,7
,SA,2022-23,3
,SA,2023-24,3
,WA,2019-20,0
,WA,2020-21,0
,WA,2021-22,0
,WA,2022-23,0
,WA,2023-24,1
,TAS,2019-20,0
,TAS,2020-21,1
,TAS,2021-22,1
,TAS,2022-23,1
,TAS,2023-24,0
,NT,2019-20,3
,NT,2020-21,1
,NT,2021-22,0
,NT,2022-23,2
,NT,2023-24,1
,ACT,2019-20,2
,ACT,2020-21,4
,ACT,2021-22,0
,ACT,2022-23,0
,ACT,2023-24,0
,Aus Gov,2019-20,0
,Aus Gov,2020-21,1
,Aus Gov,2021-22,0
,Aus Gov,2022-23,0
,Aus Gov,2023-24,0
,AUST,2019-20,32
,AUST,2020-21,25
,AUST,2021-22,26
,AUST,2022-23,23
,AUST,2023-24,24
