category,jurisdiction,financial_year,value
,NSW,2019-20,0.0254928691275168
,NSW,2020-21,0.0270665990897595
,NSW,2021-22,0.0257852047860101
,NSW,2022-23,0.0266669032326745
,NSW,2023-24,0.0273206562076114
,VIC,2019-20,0.0784516684430598
,VIC,2020-21,0.0599558996974514
,VIC,2021-22,0.0562205502355981
,VIC,2022-23,0.0573042135451136
,VIC,2023-24,0.0678122750768828
,QLD,2019-20,0.0265599672076168
,QLD,2020-21,0.0254676049148649
,QLD,2021-22,0.024718372639598
,QLD,2022-23,0.0256618230766576
,QLD,2023-24,0.028079818377345
,SA,2019-20,0.188901796086141
,SA,2020-21,0.271536730100266
,SA,2021-22,0.312807169702226
,SA,2022-23,0.283892163494057
,SA,2023-24,0.249976319030028
,WA,2019-20,0.0434838681942265
,WA,2020-21,0.0434386648593697
,WA,2021-22,0.0471496904313255
,WA,2022-23,0.0470526990229057
,WA,2023-24,0.0499951835083325
,TAS,2019-20,0.128120782726046
,TAS,2020-21,0.100340926700759
,TAS,2021-22,0.115020524419871
,TAS,2022-23,0.115086654420573
,TAS,2023-24,0.121417254788996
,NT,2019-20,0.0766383627258872
,NT,2020-21,0.0790676416819013
,NT,2021-22,0.0747338692157289
,NT,2022-23,0.0699475962633857
,NT,2023-24,0.0591318934787167
,Aus Gov,2019-20,0.059641600703606
,Aus Gov,2020-21,0.0604996317906305
,Aus Gov,2021-22,0.0604405083673587
,Aus Gov,2022-23,0.0625036137612027
,Aus Gov,2023-24,0.0695241309483631
,Seacare,2019-20,0.238805970149254
,Seacare,2020-21,0.145
,Seacare,2021-22,0.14622641509434
,Seacare,2022-23,0.217647058823529
,Seacare,2023-24,0.346153846153846
,AUST,2019-20,0.0461066707087756
,AUST,2020-21,0.0432004301849108
,AUST,2021-22,0.0431959268659196
,AUST,2022-23,0.0430230843586677
,AUST,2023-24,0.0459279879429354
