table,title,section
Table 1.1,"Incidence rates of serious claims by jurisdiction, 6-year to 2023-24p (Indicator 1)",Work Health and Safety Performance
Table 1.2,"Frequency rates of serious claims by jurisdiction, 6-year to 2023-24p (Indicator 2)",Work Health and Safety Performance
Table 1.3,"Incidence rates of long term (12 weeks or more compensation) claims by jurisdiction, 6-year to 2023-24p (Indicator 3)",Work Health and Safety Performance
Table 1.4,"Frequency rates of long term (12 weeks or more compensation) claims by jurisdiction, 6-year to 2023-24p (Indicator 4)",Work Health and Safety Performance
Table 1.5,"Self-insured serious claims by jurisdiction (count), 6-year to 2023-24p (Indicator 5a)",Work Health and Safety Performance
Table 1.6,"Self-insured serious claims by jurisdiction (% of total), 6-year to 2023-24p (Indicator 5b)",Work Health and Safety Performance
Table 1.7,"Serious claims by duration of compensated absence (% of total) and jurisdiction, 5-year to 2022-23 (Indicator 6)",Work Health and Safety Performance
Table 1.8,"Traumatic injury worker fatalities (excluding public road incidence) by state (count), 6-year to 2023-24 (Indicator 7a)",Work Health and Safety Performance
Table 1.9,"Traumatic injury worker fatalities (excluding public road incidence) by state (rate), 6-year to 2023-24 (Indicator 7b)",Work Health and Safety Performance
Table 1.10,"Compensated fatalities involving occupational diseases by jurisdiction, 6-year to 2023-24 (Indicator 8)",Work Health and Safety Performance
Table 1.11,"Serious claims by mechanism of incident and jurisdiction (% of total), 6-year to 2023-24p (Indicator 10a - 10j)",Work Health and Safety Performance
Table 1.12,"Serious claims by industry and jurisdiction (frequency rate), 6-year to 2023-24p (Indicator 11a - 11s)",Work Health and Safety Performance
Table 2.1,"Number of workplace visits (proactive) by jurisdiction, 5-year to 2023-24 (Indicator 12a_a)",Work Health and Safety Compliance and Enforcement Activities
Table 2.2,"Number of workshops, presentations and seminars (proactive) by jurisdiction, 5-year to 2023-24 (Indicator 12a_b)",Work Health and Safety Compliance and Enforcement Activities
Table 2.3,"Number of workplace visits (reactive) by jurisdiction, 5-year to 2023-24 (Indicator 12a_c)",Work Health and Safety Compliance and Enforcement Activities
Table 2.4,"Other reactive interventions by jurisdiction, 5-year to 2023-24 (Indicator 12a_d)",Work Health and Safety Compliance and Enforcement Activities
Table 2.5,"Number of field active inspectors by jurisdiction, 5-year to 2023-24 (Indicator 12b_a)",Work Health and Safety Compliance and Enforcement Activities
Table 2.6,"Number of field active inspectors per 10,000 employees by jurisdiction, 5-year to 2023-24 (Indicator 12b_b)",Work Health and Safety Compliance and Enforcement Activities
Table 2.7,"Number of other staff undertaking non-inspectorate activities by jurisdiction, 5-year to 2023-24 (Indicator 12b_c)",Work Health and Safety Compliance and Enforcement Activities
Table 2.8,"Number of infringement notices issued by jurisdiction, 5-year to 2023-24 (Indicator 12c_a)",Work Health and Safety Compliance and Enforcement Activities
Table 2.9,"Number of improvement notices issued by jurisdiction, 5-year to 2023-24 (Indicator 12c_b)",Work Health and Safety Compliance and Enforcement Activities
Table 2.10,"Number of prohibition notices issued by jurisdiction, 5-year to 2023-24 (Indicator 12c_c)",Work Health and Safety Compliance and Enforcement Activities
Table 2.11,"Number of enforceable undertakings by jurisdiction, 5-year to 2023-24 (Indicator 12c_d)",Work Health and Safety Compliance and Enforcement Activities
Table 2.12,"Number of legal proceedings by jurisdiction, 5-year to 2023-24 (Indicator 12d_a)",Work Health and Safety Compliance and Enforcement Activities
Table 2.13,"Number of legal proceedings resulting in a conviction, order or agreement by jurisdiction, 5-year to 2023-24 (Indicator 12d_b)",Work Health and Safety Compliance and Enforcement Activities
Table 2.14,"Total amount of fines ordered by the courts by jurisdiction, 5-year to 2023-24 (Indicator 12d_c)",Work Health and Safety Compliance and Enforcement Activities
Table 3.1,"Standardised average premium rates by jurisdiction, 5-year to 2023-24 (Indicator 13)",Workers Compensation Premiums
Table 3.2,"Standardised average premium rates by industry and jurisdiction, 5-year to 2023-24 (Indicator 14)",Workers Compensation Premiums
Table 4.1,"Standardised ratio of assets to net outstanding claim liabilities for centrally funded (CF) schemes by jurisdiction, 5-year to 2023-24 (Indicator 18)",Workers Compensation Funding
Table 4.2,"Standardised ratio of assets to net outstanding claim liabilities for privately underwritten (PU) schemes by jurisdiction, 5-year to 2023-24 (Indicator 19)",Workers Compensation Funding
Table 5.1,"Percentage of claims with dispute by jurisdiction, 5-year to 2023-24 (Indicator 22)",Workers Compensation Disputes
Table 5.2,"Percentage of disputes resolved within selected time periods (cumulative %) by jurisdiction, 5-year to 2023-24 (Indicator 23)",Workers Compensation Disputes
