category,jurisdiction,financial_year,value
,NSW,2018-19,31
,NSW,2019-20,44
,NSW,2020-21,33
,NSW,2021-22,26
,NSW,2022-23,39
,NSW,2023-24p,33
,VIC,2018-19,26
,VIC,2019-20,31
,VIC,2020-21,20
,VIC,2021-22,32
,VIC,2022-23,18
,VIC,2023-24p,20
,QLD,2018-19,41
,QLD,2019-20,29
,QLD,2020-21,18
,QLD,2021-22,28
,QLD,2022-23,41
,QLD,2023-24p,35
,SA,2018-19,6
,SA,2019-20,4
,SA,2020-21,10
,SA,2021-22,9
,SA,2022-23,6
,SA,2023-24p,10
,WA,2018-19,12
,WA,2019-20,16
,WA,2020-21,17
,WA,2021-22,19
,WA,2022-23,18
,WA,2023-24p,14
,TAS,2018-19,2
,TAS,2019-20,7
,TAS,2020-21,3
,TAS,2021-22,5
,TAS,2022-23,2
,TAS,2023-24p,1
,NT,2018-19,3
,NT,2019-20,6
,NT,2020-21,4
,NT,2021-22,3
,NT,2022-23,4
,NT,2023-24p,1
,ACT,2018-19,1
,ACT,2019-20,2
,ACT,2020-21,0
,ACT,2021-22,1
,ACT,2022-23,0
,ACT,2023-24p,2
,AUST Total,2018-19,122
,AUST Total,2019-20,139
,AUST Total,2020-21,105
,AUST Total,2021-22,123
,AUST Total,2022-23,128
,AUST Total,2023-24p,116
