category,jurisdiction,financial_year,value
,NSW,2018-19,3.7137390875609717
,NSW,2019-20,4.13842152748288
,NSW,2020-21,4.59449481999562
,NSW,2021-22,4.503504512873662
,NSW,2022-23,4.844893296676462
,NSW,2023-24p,4.789331891392246
,VIC,2018-19,3.6525437582434437
,VIC,2019-20,3.8950287720493524
,VIC,2020-21,4.2421799575770205
,VIC,2021-22,4.2861108447258935
,VIC,2022-23,4.509092259044791
,VIC,2023-24p,4.103113931524607
,QLD,2018-19,4.1437010748440715
,QLD,2019-20,4.306086397321689
,QLD,2020-21,4.7392688078071235
,QLD,2021-22,4.513334429822001
,QLD,2022-23,4.657827629905935
,QLD,2023-24p,4.932779825705711
,SA,2018-19,3.7674740991473468
,SA,2019-20,3.9228666736596964
,SA,2020-21,3.9049161325019184
,SA,2021-22,3.4750321686144363
,SA,2022-23,3.1269104140387403
,SA,2023-24p,2.768455703567379
,WA,2018-19,3.9477639880737865
,WA,2019-20,4.057465373509257
,WA,2020-21,4.607084170489461
,WA,2021-22,4.546629712112539
,WA,2022-23,4.589529484436451
,WA,2023-24p,4.590302690130276
,TAS,2018-19,3.834923759263802
,TAS,2019-20,3.6082089638460566
,TAS,2020-21,3.919574703004206
,TAS,2021-22,4.103563342324587
,TAS,2022-23,4.094953078330444
,TAS,2023-24p,4.942629343861805
,NT,2018-19,3.7551157260718706
,NT,2019-20,3.2996890977482125
,NT,2020-21,3.4210527152381354
,NT,2021-22,2.9962995066769524
,NT,2022-23,2.235797425923006
,NT,2023-24p,1.1669284027758997
,ACT,2018-19,3.701660238272559
,ACT,2019-20,3.5359557495113005
,ACT,2020-21,3.7276304227981174
,ACT,2021-22,3.5083055525669518
,ACT,2022-23,3.3402383278825205
,ACT,2023-24p,3.4182468137399686
,Aus Gov,2018-19,1.7284337813930983
,Aus Gov,2019-20,1.910279876600155
,Aus Gov,2020-21,1.9922364273184607
,Aus Gov,2021-22,1.6664380612018048
,Aus Gov,2022-23,1.5570136098067864
,Aus Gov,2023-24p,1.4392761562860146
,AUST Total,2018-19,3.745592964749104
,AUST Total,2019-20,3.982393607625264
,AUST Total,2020-21,4.36012292410645
,AUST Total,2021-22,4.235703537510644
,AUST Total,2022-23,4.387181249502222
,AUST Total,2023-24p,4.297571332805048
